 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> July 11, 2019 
 ==================================================================

 Disk File Name = SRIM Outputs\15N_LiF.txt

 Ion = Nitrogen [7] , Mass = 15 amu

 Target Density =  2.6400E+00 g/cm3 = 1.2258E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Li      3    050.00    026.76   
      F      9    050.00    073.24   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   7.00 MeV   7.367E+00  1.179E-02    5.00 um     2046 A      2560 A   
   8.00 MeV   7.345E+00  1.052E-02    5.51 um     2184 A      2611 A   
   9.00 MeV   7.295E+00  9.519E-03    6.03 um     2314 A      2659 A   
  10.00 MeV   7.225E+00  8.700E-03    6.55 um     2439 A      2704 A   
  11.00 MeV   7.141E+00  8.017E-03    7.08 um     2560 A      2749 A   
  12.00 MeV   7.049E+00  7.440E-03    7.61 um     2679 A      2792 A   
  13.00 MeV   6.949E+00  6.945E-03    8.15 um     2795 A      2834 A   
  14.00 MeV   6.846E+00  6.515E-03    8.70 um     2909 A      2876 A   
  15.00 MeV   6.741E+00  6.139E-03    9.26 um     3022 A      2918 A   
  16.00 MeV   6.635E+00  5.805E-03    9.82 um     3135 A      2960 A   
  17.00 MeV   6.528E+00  5.509E-03   10.40 um     3247 A      3001 A   
  18.00 MeV   6.422E+00  5.242E-03   10.98 um     3359 A      3043 A   
  20.00 MeV   6.212E+00  4.784E-03   12.18 um     3777 A      3127 A   
  22.50 MeV   5.959E+00  4.318E-03   13.73 um     4388 A      3234 A   
  25.00 MeV   5.717E+00  3.939E-03   15.36 um     4967 A      3345 A   
  27.50 MeV   5.488E+00  3.624E-03   17.04 um     5528 A      3459 A   
  30.00 MeV   5.272E+00  3.358E-03   18.80 um     6078 A      3577 A   
  32.50 MeV   5.082E+00  3.131E-03   20.63 um     6620 A      3700 A   
  35.00 MeV   4.867E+00  2.934E-03   22.54 um     7162 A      3827 A   
  37.50 MeV   4.668E+00  2.761E-03   24.52 um     7709 A      3961 A   
  40.00 MeV   4.497E+00  2.609E-03   26.59 um     8261 A      4100 A   
  45.00 MeV   4.189E+00  2.351E-03   30.95 um     1.03 um     4396 A   
  50.00 MeV   3.919E+00  2.143E-03   35.62 um     1.23 um     4716 A   
  55.00 MeV   3.682E+00  1.969E-03   40.61 um     1.42 um     5061 A   
  60.00 MeV   3.472E+00  1.823E-03   45.90 um     1.61 um     5430 A   
  65.00 MeV   3.285E+00  1.698E-03   51.51 um     1.80 um     5824 A   
  70.00 MeV   3.119E+00  1.590E-03   57.42 um     1.99 um     6243 A   
  80.00 MeV   2.836E+00  1.412E-03   70.16 um     2.69 um     7152 A   
  90.00 MeV   2.605E+00  1.272E-03   84.09 um     3.34 um     8156 A   
 100.00 MeV   2.413E+00  1.158E-03   99.20 um     3.97 um     9251 A   
 110.00 MeV   2.250E+00  1.063E-03  115.45 um     4.59 um     1.04 um  
 120.00 MeV   2.111E+00  9.836E-04  132.83 um     5.22 um     1.17 um  
 130.00 MeV   1.990E+00  9.156E-04  151.31 um     5.84 um     1.30 um  
 140.00 MeV   1.883E+00  8.568E-04  170.88 um     6.47 um     1.45 um  
 150.00 MeV   1.789E+00  8.054E-04  191.51 um     7.11 um     1.60 um  
 160.00 MeV   1.704E+00  7.601E-04  213.20 um     7.75 um     1.75 um  
 170.00 MeV   1.627E+00  7.198E-04  235.95 um     8.40 um     1.92 um  
 180.00 MeV   1.556E+00  6.838E-04  259.75 um     9.06 um     2.09 um  
 200.00 MeV   1.432E+00  6.219E-04  310.49 um    11.58 um     2.46 um  
 225.00 MeV   1.302E+00  5.593E-04  379.84 um    15.20 um     2.95 um  
 250.00 MeV   1.191E+00  5.086E-04  455.90 um    18.64 um     3.50 um  
 275.00 MeV   1.097E+00  4.667E-04  538.73 um    22.05 um     4.09 um  
 300.00 MeV   1.017E+00  4.314E-04  628.40 um    25.46 um     4.72 um  
 325.00 MeV   9.477E-01  4.013E-04  724.88 um    28.92 um     5.41 um  
 350.00 MeV   8.895E-01  3.753E-04  828.01 um    32.42 um     6.14 um  
 375.00 MeV   8.408E-01  3.525E-04  937.50 um    35.96 um     6.91 um  
 400.00 MeV   8.011E-01  3.325E-04    1.05 mm    39.53 um     7.72 um  
 450.00 MeV   7.462E-01  2.988E-04    1.30 mm    52.63 um     9.45 um  
 500.00 MeV   6.850E-01  2.715E-04    1.56 mm    64.68 um    11.31 um  
 550.00 MeV   6.341E-01  2.490E-04    1.85 mm    76.47 um    13.32 um  
 600.00 MeV   5.911E-01  2.301E-04    2.16 mm    88.18 um    15.46 um  
 650.00 MeV   5.541E-01  2.139E-04    2.49 mm    99.92 um    17.74 um  
 700.00 MeV   5.221E-01  1.999E-04    2.84 mm   111.74 um    20.16 um  
 800.00 MeV   4.693E-01  1.770E-04    3.61 mm   155.76 um    25.39 um  
 900.00 MeV   4.275E-01  1.590E-04    4.45 mm   196.59 um    31.13 um  
   1.00 GeV   3.935E-01  1.444E-04    5.38 mm   236.24 um    37.36 um  
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  2.6399E+01                 eV / Angstrom 
  2.6399E+02                keV / micron   
  2.6399E+02                MeV / mm       
  1.0000E+00                keV / (ug/cm2) 
  1.0000E+00                MeV / (mg/cm2) 
  1.0000E+03                keV / (mg/cm2) 
  2.1536E+01                 eV / (1E15 atoms/cm2)
  2.9812E-01                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
