 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> July 11, 2019 
 ==================================================================

 Disk File Name = SRIM Outputs\19F_natC.txt

 Ion = Fluorine [9] , Mass = 18.998 amu

 Target Density =  2.2530E+00 g/cm3 = 1.1296E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      C      6    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   8.00 MeV   1.209E+01  2.432E-02    3.97 um     1392 A      1548 A   
   9.00 MeV   1.196E+01  2.202E-02    4.34 um     1494 A      1582 A   
  10.00 MeV   1.180E+01  2.014E-02    4.71 um     1591 A      1616 A   
  11.00 MeV   1.163E+01  1.858E-02    5.09 um     1686 A      1648 A   
  12.00 MeV   1.145E+01  1.725E-02    5.48 um     1777 A      1679 A   
  13.00 MeV   1.126E+01  1.611E-02    5.87 um     1867 A      1710 A   
  14.00 MeV   1.109E+01  1.512E-02    6.26 um     1956 A      1741 A   
  15.00 MeV   1.091E+01  1.425E-02    6.67 um     2043 A      1771 A   
  16.00 MeV   1.074E+01  1.349E-02    7.07 um     2129 A      1801 A   
  17.00 MeV   1.058E+01  1.280E-02    7.49 um     2214 A      1831 A   
  18.00 MeV   1.043E+01  1.219E-02    7.91 um     2298 A      1861 A   
  20.00 MeV   1.014E+01  1.113E-02    8.77 um     2612 A      1921 A   
  22.50 MeV   9.803E+00  1.005E-02    9.89 um     3059 A      1997 A   
  25.00 MeV   9.500E+00  9.177E-03   11.03 um     3474 A      2074 A   
  27.50 MeV   9.222E+00  8.448E-03   12.22 um     3867 A      2152 A   
  30.00 MeV   8.964E+00  7.833E-03   13.44 um     4243 A      2232 A   
  32.50 MeV   8.725E+00  7.305E-03   14.69 um     4608 A      2313 A   
  35.00 MeV   8.500E+00  6.848E-03   15.98 um     4963 A      2395 A   
  37.50 MeV   8.287E+00  6.448E-03   17.30 um     5312 A      2480 A   
  40.00 MeV   8.132E+00  6.094E-03   18.65 um     5654 A      2565 A   
  45.00 MeV   7.771E+00  5.496E-03   21.44 um     6910 A      2741 A   
  50.00 MeV   7.440E+00  5.011E-03   24.36 um     8063 A      2923 A   
  55.00 MeV   7.144E+00  4.608E-03   27.40 um     9154 A      3112 A   
  60.00 MeV   6.869E+00  4.268E-03   30.57 um     1.02 um     3307 A   
  65.00 MeV   6.612E+00  3.977E-03   33.86 um     1.12 um     3508 A   
  70.00 MeV   6.370E+00  3.725E-03   37.28 um     1.22 um     3716 A   
  80.00 MeV   5.927E+00  3.310E-03   44.50 um     1.60 um     4152 A   
  90.00 MeV   5.533E+00  2.982E-03   52.25 um     1.94 um     4615 A   
 100.00 MeV   5.180E+00  2.716E-03   60.54 um     2.27 um     5106 A   
 110.00 MeV   4.863E+00  2.496E-03   69.38 um     2.59 um     5626 A   
 120.00 MeV   4.578E+00  2.310E-03   78.78 um     2.92 um     6176 A   
 130.00 MeV   4.321E+00  2.151E-03   88.76 um     3.24 um     6757 A   
 140.00 MeV   4.090E+00  2.013E-03   99.32 um     3.57 um     7369 A   
 150.00 MeV   3.880E+00  1.893E-03  110.46 um     3.91 um     8013 A   
 160.00 MeV   3.690E+00  1.787E-03  122.19 um     4.25 um     8688 A   
 170.00 MeV   3.517E+00  1.692E-03  134.51 um     4.60 um     9396 A   
 180.00 MeV   3.360E+00  1.608E-03  147.41 um     4.95 um     1.01 um  
 200.00 MeV   3.087E+00  1.463E-03  174.98 um     6.31 um     1.17 um  
 225.00 MeV   2.806E+00  1.317E-03  212.68 um     8.27 um     1.39 um  
 250.00 MeV   2.578E+00  1.198E-03  253.94 um    10.13 um     1.62 um  
 275.00 MeV   2.391E+00  1.099E-03  298.63 um    11.95 um     1.88 um  
 300.00 MeV   2.235E+00  1.016E-03  346.62 um    13.75 um     2.15 um  
 325.00 MeV   2.104E+00  9.457E-04  397.78 um    15.55 um     2.44 um  
 350.00 MeV   1.992E+00  8.846E-04  451.98 um    17.35 um     2.74 um  
 375.00 MeV   1.894E+00  8.312E-04  509.10 um    19.15 um     3.06 um  
