 ==================================================================
              SRIM version ---> SRIM-2012.03
              Calc. date   ---> March 07, 2013 
 ==================================================================

 Disk File Name = SRIM Outputs\1H_CAI.txt

 Ion = Hydrogen [1] , Mass = 1.008 amu

 Target Density =  1.7327E+00 g/cm3 = 4.7259E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Al     13    013.08    015.98   
     Mg     12    005.61    006.18   
     Si     14    010.84    013.79   
     Ca     20    011.59    021.04   
     Fe     26    000.19    000.48   
      O      8    058.69    042.53   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
   4.50 MeV   6.712E-02  3.671E-05  227.41 um     9.75 um    10.01 um  
   5.00 MeV   6.202E-02  3.345E-05  271.96 um    11.86 um    11.84 um  
   5.50 MeV   5.771E-02  3.075E-05  320.01 um    13.94 um    13.80 um  
   6.00 MeV   5.403E-02  2.847E-05  371.49 um    16.01 um    15.89 um  
   6.50 MeV   5.083E-02  2.653E-05  426.35 um    18.10 um    18.10 um  
   7.00 MeV   4.802E-02  2.484E-05  484.55 um    20.21 um    20.44 um  
   8.00 MeV   4.333E-02  2.206E-05  610.63 um    27.54 um    25.47 um  
   9.00 MeV   3.955E-02  1.987E-05  749.58 um    34.45 um    30.98 um  
  10.00 MeV   3.643E-02  1.809E-05  901.11 um    41.25 um    36.94 um  
  11.00 MeV   3.381E-02  1.661E-05    1.06 mm    48.04 um    43.35 um  
  12.00 MeV   3.158E-02  1.537E-05    1.24 mm    54.90 um    50.20 um  
  13.00 MeV   2.966E-02  1.431E-05    1.43 mm    61.84 um    57.49 um  
  14.00 MeV   2.797E-02  1.339E-05    1.63 mm    68.90 um    65.19 um  
  15.00 MeV   2.649E-02  1.259E-05    1.84 mm    76.09 um    73.31 um  
  16.00 MeV   2.517E-02  1.188E-05    2.06 mm    83.41 um    81.84 um  
  17.00 MeV   2.399E-02  1.125E-05    2.30 mm    90.86 um    90.78 um  
  18.00 MeV   2.293E-02  1.069E-05    2.54 mm    98.44 um   100.11 um  
  20.00 MeV   2.109E-02  9.723E-06    3.07 mm   125.38 um   119.96 um  
  22.50 MeV   1.920E-02  8.745E-06    3.78 mm   163.80 um   146.92 um  
  25.00 MeV   1.766E-02  7.953E-06    4.56 mm   200.48 um   176.21 um  
  27.50 MeV   1.637E-02  7.298E-06    5.41 mm   236.61 um   207.76 um  
  30.00 MeV   1.528E-02  6.746E-06    6.32 mm   272.70 um   241.52 um  
  32.50 MeV   1.434E-02  6.276E-06    7.29 mm   309.05 um   277.43 um  
  35.00 MeV   1.352E-02  5.869E-06    8.32 mm   345.78 um   315.46 um  
  37.50 MeV   1.280E-02  5.513E-06    9.42 mm   383.01 um   355.54 um  
