============================== SRIM-2006.02 ==============================
==============================================================================
=================  TRANSMIT.txt : File of Transmitted Ions  ==================
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom, B= Backscattered Ion, T= Transmitted Ion.   =
=  Col.#2: Ion Number, Col.#3: Z of atom leaving, Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target, Y,Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.  NOTE: Use hotkey  C  for details.=
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.= Ni(1.68 GeV) ==> Mylar(  5 um) ============================
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T   54 28 .1671267E+10   5004358E-02  .4413E+00 -.4216E+01   .9999999  .0000978 -.0001086
T   55 28 .1671338E+10   5027499E-02  .6682E+01  .2267E+01   .9999999  .0001591  .0000366
T   56 28 .1671211E+10   5033412E-02 -.5521E+01  .2054E+01   .9999999 -.0001633 -.0000392
T   57 28 .1671009E+10   5048423E-02 -.1267E+02 -.1650E+02   .9999996 -.0004947 -.0008085
T   58 28 .1670980E+10   5034268E-02 -.1561E+02  .5592E+01   .9999999 -.0003891  .0003170
T   59 28 .1671011E+10   5031039E-02 -.9493E+01  .8511E+01   .9999998 -.0003984  .0004197
T   60 28 .1671305E+10   5008359E-02  .1420E+02 -.2838E+01   .9999999  .0004055 -.0000781
T   61 28 .1671188E+10   5017912E-02  .3221E+00  .2779E+01   .9999999 -.0000262  .0000407
T   62 28 .1671157E+10   5028508E-02  .5253E+01 -.2855E+01   .9999999  .0003107 -.0000846
T   63 28 .1671262E+10   5028190E-02  .1000E+02 -.1391E+02   .9999989 -.0012267 -.0008022
T   64 28 .1671155E+10   5030331E-02 -.6931E+01  .1219E+02   .9999999 -.0001566  .0004159
T   65 28 .1671093E+10   5017552E-02  .1634E+01 -.1477E+01   .9999999  .0001648  .0001256
T   66 28 .1671328E+10   5002154E-02  .9950E+01 -.1031E+02   .9999999  .0001870 -.0003826
T   67 28 .1671220E+10   5014350E-02 -.6541E+01  .1341E+02   .9999999 -.0001331  .0002001
T   68 28 .1671207E+10   5034214E-02 -.1445E+02 -.6571E+01   .9999998 -.0005572 -.0003010
T   69 28 .1670972E+10   5024725E-02 -.9223E+00  .2521E+01   .9999999 -.0001115  .0002322
T   70 28 .1671441E+10   5024216E-02  .1288E+01  .1857E+01   .9999999  .0001855  .0000720
T   71 28 .1671046E+10   5033104E-02 -.1032E+02 -.3002E+01   .9999999 -.0004248 -.0001233
T   72 28 .1671141E+10   5010972E-02  .6347E+00  .7226E+01   .9999999  .0000605  .0002326
T   73 28 .1671087E+10   5015624E-02  .5591E+01 -.4748E+01   .9999999  .0001814 -.0001050
T   74 28 .1670922E+10   5019212E-02 -.1090E+02  .6287E+01   .9999998 -.0004410  .0004653
T   75 28 .1671005E+10   5012307E-02  .2533E+01 -.6881E+01   .9999999  .0000955 -.0001662
T   76 28 .1671345E+10   5014708E-02 -.4034E+01  .7037E+00   .9999999 -.0001796 -.0000207
T   77 28 .1671431E+10   5009410E-02 -.1233E+02 -.4073E+01   .9999999 -.0003543 -.0001850
T   78 28 .1671020E+10   5011995E-02 -.4249E+01  .4503E+01   .9999999 -.0000655  .0001283
T   79 28 .1670923E+10   5004021E-02 -.3564E+01 -.4531E+01   .9999999 -.0002062 -.0000419
T   80 28 .1671053E+10   5029886E-02 -.9674E+01  .6632E+01   .9999999 -.0003309  .0000890
T   81 28 .1671092E+10   5027138E-02 -.4412E+01  .4223E+01   .9999999 -.0001332  .0002738
T   82 28 .1671618E+10   5023740E-02 -.2482E+01  .3931E+00   .9999999 -.0000229 -.0001450
T   83 28 .1671259E+10   5006187E-02  .3672E+00 -.5200E+01   .9999999  .0001518 -.0003958
T   84 28 .1671064E+10   5020465E-02  .4216E+01 -.1643E+02   .9999998  .0002800 -.0005463
T   85 28 .1671431E+10   5037156E-02 -.3417E+01 -.1301E+01   .9999999 -.0000466 -.0001271
T   86 28 .1670943E+10   5005928E-02 -.1494E+02 -.5095E+01   .9999997 -.0007438 -.0003564
T   87 28 .1671139E+10   5034464E-02  .2967E+01  .1908E+00   .9999999  .0001993 -.0000667
T   88 28 .1671028E+10   5031030E-02 -.3197E+01  .8069E+01   .9999999 -.0001217  .0002280
T   89 28 .1671363E+10   5018639E-02  .3787E+01  .1260E+02   .9999999  .0000005  .0002665
T   90 28 .1671213E+10   5018141E-02 -.4111E+01 -.5916E+01   .9999999  .0000363 -.0003421
T   91 28 .1671049E+10   5008774E-02 -.6947E+01 -.1565E+01   .9999999 -.0002841 -.0000986
T   92 28 .1671162E+10   5017217E-02  .4353E+01 -.1368E+01   .9999999  .0002168  .0000423
T   93 28 .1670905E+10   5004662E-02 -.2704E+01  .8696E+01   .9999999 -.0001296  .0001651
T   94 28 .1671066E+10   5007005E-02 -.1180E+02  .2568E+02   .9999999 -.0001901  .0003984
T   95 28 .1671211E+10   5027911E-02 -.1385E+02 -.5495E+01   .9999999 -.0003165 -.0000621
T   96 28 .1671225E+10   5016827E-02 -.8885E+01  .5571E+00   .9999999 -.0002018  .0002049
T   97 28 .1671130E+10   5002734E-02 -.4510E+01 -.6570E+01   .9999999 -.0002317 -.0003488
T   98 28 .1671563E+10   5004612E-02 -.6082E+01  .9140E+00   .9999994 -.0011147  .0000087
T   99 28 .1671039E+10   5015793E-02  .2475E+01  .3156E+01   .9999999  .0001011  .0000336
T  100 28 .1671220E+10   5004408E-02  .4871E+01 -.9371E+01   .9999999 -.0000801 -.0004321
T  101 28 .1671257E+10   5001125E-02 -.5320E+01  .5915E+01   .9999999 -.0001246  .0002401
T  102 28 .1671285E+10   5008668E-02 -.1535E+02  .7934E+01   .9999998 -.0005783  .0001883
T  103 28 .1671396E+10   5017653E-02 -.2459E+01 -.1069E+00   .9999999 -.0001280 -.0000939
T  104 28 .1671295E+10   5008495E-02 -.2177E+01 -.6365E+01   .9999999 -.0001090 -.0001956
T  105 28 .1671369E+10   5029323E-02  .6762E+01 -.3981E+01   .9999999  .0000439 -.0001978
T  106 28 .1670998E+10   5004331E-02 -.4847E+01 -.1431E+02   .9999999 -.0001027 -.0003629
T  107 28 .1671278E+10   5010367E-02 -.1510E+01 -.3721E+01   .9999999 -.0000863 -.0002079
T  108 28 .1670984E+10   5019175E-02 -.2212E+02 -.4723E+01   .9999995 -.0008370  .0005693
T  109 28 .1671479E+10   5028936E-02 -.2486E+02 -.2095E+01   .9999998 -.0006549  .0000779
T  110 28 .1671213E+10   5026519E-02  .3317E+01  .4361E+01   .9999999  .0002489  .0003899
T  111 28 .1671192E+10   5008237E-02  .3845E+01  .1537E+02   .9999998  .0000662  .0005469
T  112 28 .1671403E+10   5028319E-02  .4402E+01 -.3436E+01   .9999999  .0003064 -.0001506
T  113 28 .1671220E+10   5002845E-02  .1325E+01 -.3759E+01   .9999999  .0000622 -.0000453
T  114 28 .1670834E+10   5010869E-02  .1222E+01  .1164E+02   .9999999  .0000515  .0002430
T  115 28 .1671111E+10   5011735E-02 -.2136E-01  .5936E+01   .9999998 -.0000653  .0005951
T  116 28 .1671200E+10   5004159E-02 -.4877E+01 -.2763E+00   .9999999 -.0001372  .0001032
T  117 28 .1671100E+10   5001273E-02 -.1932E+01 -.1427E+01   .9999999 -.0001025 -.0000070
T  118 28 .1671316E+10   5003745E-02  .1488E+01  .1736E+02   .9999999  .0000782  .0004383
T  119 28 .1671285E+10   5004556E-02  .1919E+01 -.2149E+01   .9999999  .0000072 -.0000265
T  120 28 .1670998E+10   5004591E-02  .9973E+01  .5663E+01   .9999999  .0002122  .0000525
