 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> July 11, 2019 
 ==================================================================

 Disk File Name = SRIM Outputs\15N_C.txt

 Ion = Nitrogen [7] , Mass = 15 amu

 Target Density =  2.2530E+00 g/cm3 = 1.1296E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      C      6    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   8.00 MeV   8.585E+00  1.238E-02    4.89 um     1606 A      1531 A   
   9.00 MeV   8.458E+00  1.120E-02    5.41 um     1775 A      1579 A   
  10.00 MeV   8.318E+00  1.023E-02    5.93 um     1935 A      1626 A   
  11.00 MeV   8.171E+00  9.429E-03    6.47 um     2087 A      1672 A   
  12.00 MeV   8.021E+00  8.749E-03    7.02 um     2233 A      1718 A   
  13.00 MeV   7.870E+00  8.166E-03    7.58 um     2376 A      1763 A   
  14.00 MeV   7.721E+00  7.660E-03    8.14 um     2516 A      1808 A   
  15.00 MeV   7.574E+00  7.216E-03    8.72 um     2653 A      1854 A   
  16.00 MeV   7.430E+00  6.824E-03    9.32 um     2789 A      1899 A   
  17.00 MeV   7.289E+00  6.475E-03    9.92 um     2923 A      1944 A   
  18.00 MeV   7.152E+00  6.161E-03   10.53 um     3056 A      1990 A   
  20.00 MeV   6.888E+00  5.622E-03   11.80 um     3552 A      2083 A   
  22.50 MeV   6.581E+00  5.073E-03   13.44 um     4262 A      2203 A   
  25.00 MeV   6.295E+00  4.627E-03   15.17 um     4922 A      2325 A   
  27.50 MeV   6.030E+00  4.257E-03   16.97 um     5554 A      2452 A   
  30.00 MeV   5.784E+00  3.944E-03   18.84 um     6169 A      2583 A   
  32.50 MeV   5.598E+00  3.677E-03   20.79 um     6769 A      2719 A   
  35.00 MeV   5.387E+00  3.445E-03   22.81 um     7360 A      2858 A   
  37.50 MeV   5.184E+00  3.242E-03   24.91 um     7949 A      3002 A   
  40.00 MeV   5.008E+00  3.063E-03   27.09 um     8537 A      3151 A   
  45.00 MeV   4.686E+00  2.761E-03   31.67 um     1.07 um     3463 A   
  50.00 MeV   4.402E+00  2.515E-03   36.55 um     1.28 um     3794 A   
  55.00 MeV   4.149E+00  2.312E-03   41.74 um     1.48 um     4144 A   
  60.00 MeV   3.922E+00  2.140E-03   47.24 um     1.67 um     4513 A   
  65.00 MeV   3.718E+00  1.993E-03   53.05 um     1.87 um     4901 A   
  70.00 MeV   3.533E+00  1.866E-03   59.17 um     2.06 um     5310 A   
