 ==================================================================
              SRIM version ---> SRIM-2012.03
              Calc. date   ---> March 05, 2013 
 ==================================================================

 Disk File Name = SRIM Outputs\16O_70Zn.txt

 Ion = Oxygen [8] , Mass = 15.995 amu

 Target Density =  7.1400E+00 g/cm3 = 6.1490E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Zn     30    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
   7.00 MeV   4.143E+00  1.135E-02    3.49 um     3222 A      4087 A   
   8.00 MeV   4.230E+00  1.018E-02    3.82 um     3291 A      4193 A   
   9.00 MeV   4.287E+00  9.249E-03    4.15 um     3355 A      4288 A   
  10.00 MeV   4.322E+00  8.482E-03    4.47 um     3414 A      4377 A   
  11.00 MeV   4.338E+00  7.842E-03    4.79 um     3470 A      4461 A   
  12.00 MeV   4.341E+00  7.298E-03    5.11 um     3525 A      4540 A   
  13.00 MeV   4.333E+00  6.829E-03    5.44 um     3577 A      4616 A   
  14.00 MeV   4.317E+00  6.421E-03    5.76 um     3628 A      4689 A   
  15.00 MeV   4.294E+00  6.062E-03    6.08 um     3678 A      4761 A   
  16.00 MeV   4.266E+00  5.744E-03    6.41 um     3728 A      4830 A   
  17.00 MeV   4.234E+00  5.460E-03    6.74 um     3777 A      4898 A   
  18.00 MeV   4.199E+00  5.204E-03    7.07 um     3826 A      4965 A   
  20.00 MeV   4.122E+00  4.763E-03    7.74 um     3979 A      5097 A   
  22.50 MeV   4.019E+00  4.312E-03    8.59 um     4204 A      5259 A   
  25.00 MeV   3.911E+00  3.944E-03    9.47 um     4428 A      5420 A   
  27.50 MeV   3.802E+00  3.638E-03   10.38 um     4651 A      5581 A   
  30.00 MeV   3.695E+00  3.378E-03   11.31 um     4876 A      5743 A   
  32.50 MeV   3.599E+00  3.155E-03   12.27 um     5102 A      5907 A   
  35.00 MeV   3.529E+00  2.962E-03   13.25 um     5327 A      6073 A   
  37.50 MeV   3.445E+00  2.792E-03   14.25 um     5553 A      6241 A   
  40.00 MeV   3.364E+00  2.642E-03   15.28 um     5780 A      6411 A   
  45.00 MeV   3.218E+00  2.387E-03   17.40 um     6589 A      6759 A   
  50.00 MeV   3.081E+00  2.180E-03   19.62 um     7372 A      7120 A   
  55.00 MeV   2.955E+00  2.008E-03   21.94 um     8139 A      7493 A   
  60.00 MeV   2.837E+00  1.862E-03   24.35 um     8898 A      7880 A   
  65.00 MeV   2.727E+00  1.738E-03   26.87 um     9654 A      8282 A   
  70.00 MeV   2.626E+00  1.629E-03   29.48 um     1.04 um     8698 A   
  80.00 MeV   2.442E+00  1.451E-03   35.01 um     1.31 um     9575 A   
  90.00 MeV   2.283E+00  1.309E-03   40.93 um     1.57 um     1.05 um  
 100.00 MeV   2.143E+00  1.194E-03   47.26 um     1.82 um     1.15 um  
 110.00 MeV   2.020E+00  1.098E-03   53.98 um     2.07 um     1.26 um  
 120.00 MeV   1.912E+00  1.018E-03   61.10 um     2.31 um     1.37 um  
 130.00 MeV   1.815E+00  9.485E-04   68.61 um     2.56 um     1.49 um  
 140.00 MeV   1.729E+00  8.886E-04   76.51 um     2.81 um     1.61 um  
 150.00 MeV   1.651E+00  8.363E-04   84.79 um     3.06 um     1.74 um  
 160.00 MeV   1.581E+00  7.900E-04   93.46 um     3.31 um     1.88 um  
 170.00 MeV   1.518E+00  7.489E-04  102.49 um     3.56 um     2.02 um  
 180.00 MeV   1.460E+00  7.120E-04  111.89 um     3.82 um     2.16 um  
 200.00 MeV   1.359E+00  6.487E-04  131.77 um     4.77 um     2.47 um  
 225.00 MeV   1.253E+00  5.844E-04  158.58 um     6.14 um     2.89 um  
 250.00 MeV   1.166E+00  5.322E-04  187.53 um     7.41 um     3.33 um  
 275.00 MeV   1.092E+00  4.890E-04  218.55 um     8.65 um     3.81 um  
 300.00 MeV   1.027E+00  4.526E-04  251.59 um     9.88 um     4.31 um  
 325.00 MeV   9.708E-01  4.214E-04  286.63 um    11.09 um     4.83 um  
 350.00 MeV   9.200E-01  3.945E-04  323.66 um    12.31 um     5.39 um  
 375.00 MeV   8.737E-01  3.709E-04  362.69 um    13.54 um     5.97 um  
 400.00 MeV   8.310E-01  3.501E-04  403.76 um    14.79 um     6.58 um  
 450.00 MeV   7.534E-01  3.151E-04  492.22 um    19.47 um     7.89 um  
 500.00 MeV   6.887E-01  2.868E-04  589.40 um    23.93 um     9.31 um  
 550.00 MeV   6.405E-01  2.633E-04  694.80 um    28.30 um    10.85 um  
 600.00 MeV   5.994E-01  2.435E-04  807.77 um    32.62 um    12.49 um  
 650.00 MeV   5.640E-01  2.266E-04  928.16 um    36.92 um    14.23 um  
 700.00 MeV   5.330E-01  2.120E-04    1.06 mm    41.22 um    16.07 um  
 800.00 MeV   4.816E-01  1.880E-04    1.33 mm    57.05 um    20.04 um  
 900.00 MeV   4.406E-01  1.690E-04    1.64 mm    71.68 um    24.37 um  
   1.00 GeV   4.070E-01  1.537E-04    1.97 mm    85.85 um    29.04 um  
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  7.1398E+01                 eV / Angstrom 
  7.1398E+02                keV / micron   
  7.1398E+02                MeV / mm       
  1.0000E+00                keV / (ug/cm2) 
  1.0000E+00                MeV / (mg/cm2) 
  1.0000E+03                keV / (mg/cm2) 
  1.1611E+02                 eV / (1E15 atoms/cm2)
  1.1349E+00                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
