 ==================================================================
              SRIM version ---> SRIM-2012.03
              Calc. date   ---> March 19, 2014 
 ==================================================================

 Disk File Name = SRIM Outputs\4He_natMg.txt

 Ion = Helium [2] , Mass = 4.003 amu

 Target Density =  1.7366E+00 g/cm3 = 4.3027E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Mg     12    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
   6.00 MeV   5.684E-01  4.017E-04   40.19 um     1.55 um     1.14 um  
   6.50 MeV   5.372E-01  3.746E-04   45.39 um     1.73 um     1.25 um  
   7.00 MeV   5.095E-01  3.512E-04   50.89 um     1.92 um     1.37 um  
   8.00 MeV   4.624E-01  3.124E-04   62.73 um     2.58 um     1.63 um  
   9.00 MeV   4.287E-01  2.818E-04   75.65 um     3.19 um     1.91 um  
  10.00 MeV   3.969E-01  2.568E-04   89.59 um     3.78 um     2.21 um  
  11.00 MeV   3.709E-01  2.362E-04  104.58 um     4.37 um     2.54 um  
  12.00 MeV   3.484E-01  2.187E-04  120.58 um     4.96 um     2.88 um  
  13.00 MeV   3.289E-01  2.038E-04  137.56 um     5.55 um     3.24 um  
  14.00 MeV   3.117E-01  1.909E-04  155.53 um     6.15 um     3.62 um  
  15.00 MeV   2.963E-01  1.796E-04  174.45 um     6.75 um     4.02 um  
  16.00 MeV   2.826E-01  1.696E-04  194.32 um     7.36 um     4.44 um  
  17.00 MeV   2.703E-01  1.607E-04  215.13 um     7.97 um     4.87 um  
  18.00 MeV   2.591E-01  1.528E-04  236.86 um     8.60 um     5.33 um  
  20.00 MeV   2.396E-01  1.391E-04  283.04 um    10.90 um     6.28 um  
