 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> July 11, 2019 
 ==================================================================

 Disk File Name = SRIM Outputs\19Ne_natC.txt

 Ion = Neon [10] , Mass = 19.002 amu

 Target Density =  2.2530E+00 g/cm3 = 1.1296E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      C      6    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   8.00 MeV   1.281E+01  2.948E-02    3.95 um     1444 A      1670 A   
   9.00 MeV   1.290E+01  2.670E-02    4.29 um     1533 A      1706 A   
  10.00 MeV   1.293E+01  2.442E-02    4.63 um     1615 A      1740 A   
  11.00 MeV   1.292E+01  2.253E-02    4.98 um     1693 A      1772 A   
  12.00 MeV   1.288E+01  2.093E-02    5.32 um     1768 A      1802 A   
  13.00 MeV   1.281E+01  1.955E-02    5.66 um     1840 A      1831 A   
  14.00 MeV   1.273E+01  1.835E-02    6.01 um     1910 A      1859 A   
  15.00 MeV   1.263E+01  1.730E-02    6.36 um     1978 A      1887 A   
  16.00 MeV   1.252E+01  1.638E-02    6.71 um     2045 A      1914 A   
  17.00 MeV   1.241E+01  1.555E-02    7.07 um     2111 A      1941 A   
  18.00 MeV   1.229E+01  1.480E-02    7.43 um     2176 A      1967 A   
  20.00 MeV   1.204E+01  1.352E-02    8.16 um     2417 A      2019 A   
  22.50 MeV   1.173E+01  1.222E-02    9.09 um     2764 A      2082 A   
  25.00 MeV   1.142E+01  1.115E-02   10.05 um     3087 A      2146 A   
  27.50 MeV   1.111E+01  1.027E-02   11.03 um     3395 A      2209 A   
  30.00 MeV   1.081E+01  9.524E-03   12.04 um     3693 A      2273 A   
  32.50 MeV   1.053E+01  8.884E-03   13.08 um     3983 A      2338 A   
  35.00 MeV   1.026E+01  8.329E-03   14.15 um     4267 A      2404 A   
  37.50 MeV   9.994E+00  7.843E-03   15.24 um     4547 A      2471 A   
  40.00 MeV   9.798E+00  7.413E-03   16.36 um     4823 A      2538 A   
  45.00 MeV   9.343E+00  6.688E-03   18.68 um     5846 A      2677 A   
  50.00 MeV   8.925E+00  6.099E-03   21.11 um     6794 A      2821 A   
  55.00 MeV   8.552E+00  5.609E-03   23.65 um     7697 A      2971 A   
  60.00 MeV   8.208E+00  5.196E-03   26.30 um     8572 A      3126 A   
  65.00 MeV   7.889E+00  4.843E-03   29.05 um     9430 A      3288 A   
  70.00 MeV   7.593E+00  4.537E-03   31.92 um     1.03 um     3455 A   
  80.00 MeV   7.059E+00  4.032E-03   37.98 um     1.34 um     3807 A   
  90.00 MeV   6.592E+00  3.633E-03   44.49 um     1.63 um     4185 A   
 100.00 MeV   6.181E+00  3.310E-03   51.44 um     1.90 um     4587 A   
 110.00 MeV   5.816E+00  3.041E-03   58.84 um     2.18 um     5014 A   
 120.00 MeV   5.491E+00  2.815E-03   66.69 um     2.44 um     5467 A   
 130.00 MeV   5.199E+00  2.622E-03   75.00 um     2.71 um     5945 A   
 140.00 MeV   4.937E+00  2.454E-03   83.76 um     2.99 um     6448 A   
 150.00 MeV   4.700E+00  2.308E-03   92.97 um     3.26 um     6976 A   
 160.00 MeV   4.485E+00  2.179E-03  102.63 um     3.54 um     7529 A   
 170.00 MeV   4.290E+00  2.064E-03  112.75 um     3.82 um     8107 A   
 180.00 MeV   4.111E+00  1.961E-03  123.32 um     4.10 um     8709 A   
 200.00 MeV   3.797E+00  1.785E-03  145.78 um     5.20 um     9989 A   
 225.00 MeV   3.470E+00  1.606E-03  176.35 um     6.77 um     1.17 um  
 250.00 MeV   3.199E+00  1.461E-03  209.65 um     8.25 um     1.36 um  
 275.00 MeV   2.972E+00  1.341E-03  245.64 um     9.70 um     1.56 um  
 300.00 MeV   2.777E+00  1.240E-03  284.26 um    11.14 um     1.78 um  
 325.00 MeV   2.610E+00  1.154E-03  325.47 um    12.58 um     2.01 um  
 350.00 MeV   2.464E+00  1.080E-03  369.23 um    14.03 um     2.26 um  
 375.00 MeV   2.335E+00  1.015E-03  415.49 um    15.49 um     2.51 um  
 400.00 MeV   2.220E+00  9.572E-04  464.21 um    16.97 um     2.78 um  
 450.00 MeV   2.025E+00  8.606E-04  568.88 um    22.54 um     3.36 um  
