============================== SRIM-2003.26 ==============================
==============================================================================
=================  TRANSMIT.txt : File of Transmitted Ions  ==================
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom. B= Backscattered Ion. T= Transmitted Ion.   =
=  Col.#2: Ion Number. Col.#3: Z of atom leaving. Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target. Y.Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.  NOTE: Use hotkey  C  for details.=
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.=  F(13.7 MeV) ==> Graphite (carbon)( 2.13 um) ==============
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T    1  9 .8185080E+07   2137942E-02  .3835E+04 -.3297E+02   .9834852  .1806662 -.0107933
T    2  9 .8197998E+07   2137526E-02  .4140E+04 -.5367E+03   .9803336  .1931997 -.0402476
T    3  9 .8247864E+07   2142080E-02  .3842E+04 -.4755E+01   .9839876  .1781348 -.0060339
T    4  9 .8183806E+07   2136171E-02  .3770E+04  .7889E+02   .9850306  .1719137  .0126681
T    5  9 .8219022E+07   2150766E-02  .3877E+04 -.1333E+03   .9816857  .1900613 -.0130385
T    6  9 .8172745E+07   2135416E-02  .3724E+04  .1328E+03   .9871486  .1597003  .0057917
T    7  9 .8301502E+07   2141347E-02  .3668E+04 -.3003E+02   .9858064  .1678774  .0017109
T    8  9 .8116935E+07   2138939E-02  .3856E+04  .8613E+02   .9840128  .1780716 -.0030568
T    9  9 .8104622E+07   2135912E-02  .3826E+04  .4709E+02   .9848001  .1730293  .0151499
T   10  9 .8203683E+07   2135532E-02  .3808E+04 -.8966E+02   .9851456  .1716000 -.0064431
T   11  9 .8182969E+07   2136033E-02  .3787E+04  .1438E+03   .9848952  .1726211  .0135438
T   12  9 .8201025E+07   2142856E-02  .3759E+04 -.8353E+02   .9839842  .1782342 -.0027621
T   13  9 .8247659E+07   2136605E-02  .3820E+04 -.5108E+02   .9837403  .1795791  .0025139
T   14  9 .8119764E+07   2134848E-02  .3941E+04 -.1502E+03   .9822646  .1869031 -.0149520
T   15  9 .8109108E+07   2147820E-02  .3852E+04  .6545E+01   .9848339  .1733566  .0070431
T   16  9 .8144808E+07   2148290E-02  .3696E+04 -.1795E+03   .9865159  .1632470  .0116986
T   17  9 .8145603E+07   2134537E-02  .3845E+04 -.7379E+02   .9845978  .1745688 -.0096422
T   18  9 .8228379E+07   2150189E-02  .3755E+04  .1328E+03   .9866596  .1625517  .0089333
T   19  9 .8161423E+07   2143419E-02  .3741E+04  .2248E+02   .9843277  .1762006 -.0072362
T   20  9 .8255381E+07   2143759E-02  .3601E+04 -.4915E+02   .9869816  .1608305  .0009288
