 ==================================================================
              SRIM version ---> SRIM-2012.03
              Calc. date   ---> March 05, 2013 
 ==================================================================

 Disk File Name = SRIM Outputs\14C_12C.txt

 Ion = Carbon [6] , Mass = 14.003 amu

 Target Density =  2.2530E+00 g/cm3 = 1.1296E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      C      6    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
   8.00 MeV   6.973E+00  8.756E-03    5.70 um     1848 A      1642 A   
   9.00 MeV   6.805E+00  7.914E-03    6.34 um     2070 A      1699 A   
  10.00 MeV   6.636E+00  7.228E-03    7.00 um     2280 A      1756 A   
  11.00 MeV   6.469E+00  6.658E-03    7.68 um     2482 A      1813 A   
  12.00 MeV   6.307E+00  6.175E-03    8.37 um     2678 A      1869 A   
  13.00 MeV   6.151E+00  5.762E-03    9.09 um     2869 A      1926 A   
  14.00 MeV   6.000E+00  5.403E-03    9.82 um     3058 A      1984 A   
  15.00 MeV   5.856E+00  5.089E-03   10.56 um     3244 A      2042 A   
  16.00 MeV   5.717E+00  4.811E-03   11.33 um     3428 A      2101 A   
  17.00 MeV   5.585E+00  4.564E-03   12.11 um     3612 A      2161 A   
  18.00 MeV   5.458E+00  4.342E-03   12.92 um     3794 A      2221 A   
  20.00 MeV   5.220E+00  3.960E-03   14.58 um     4478 A      2345 A   
  22.50 MeV   4.948E+00  3.573E-03   16.76 um     5456 A      2506 A   
  25.00 MeV   4.703E+00  3.257E-03   19.06 um     6367 A      2675 A   
  27.50 MeV   4.479E+00  2.996E-03   21.48 um     7243 A      2850 A   
  30.00 MeV   4.305E+00  2.775E-03   24.00 um     8092 A      3033 A   
  32.50 MeV   4.122E+00  2.586E-03   26.64 um     8923 A      3222 A   
  35.00 MeV   3.946E+00  2.422E-03   29.39 um     9750 A      3419 A   
  37.50 MeV   3.793E+00  2.279E-03   32.25 um     1.06 um     3624 A   
  40.00 MeV   3.652E+00  2.153E-03   35.23 um     1.14 um     3836 A   
  45.00 MeV   3.398E+00  1.940E-03   41.53 um     1.45 um     4282 A   
  50.00 MeV   3.175E+00  1.767E-03   48.29 um     1.74 um     4758 A   
  55.00 MeV   2.979E+00  1.623E-03   55.50 um     2.02 um     5265 A   
  60.00 MeV   2.804E+00  1.503E-03   63.18 um     2.30 um     5802 A   
  65.00 MeV   2.648E+00  1.399E-03   71.32 um     2.57 um     6369 A   
  70.00 MeV   2.507E+00  1.310E-03   79.93 um     2.85 um     6967 A   
  80.00 MeV   2.266E+00  1.163E-03   98.55 um     3.89 um     8255 A   
  90.00 MeV   2.066E+00  1.046E-03  119.06 um     4.86 um     9666 A   
 100.00 MeV   1.899E+00  9.523E-04  141.46 um     5.81 um     1.12 um  
 110.00 MeV   1.758E+00  8.743E-04  165.76 um     6.75 um     1.29 um  
 120.00 MeV   1.637E+00  8.087E-04  191.92 um     7.71 um     1.46 um  
 130.00 MeV   1.532E+00  7.526E-04  219.95 um     8.68 um     1.66 um  
 140.00 MeV   1.442E+00  7.041E-04  249.81 um     9.66 um     1.86 um  
 150.00 MeV   1.362E+00  6.617E-04  281.47 um    10.66 um     2.07 um  
 160.00 MeV   1.292E+00  6.244E-04  314.92 um    11.67 um     2.30 um  
 170.00 MeV   1.230E+00  5.912E-04  350.11 um    12.70 um     2.54 um  
 180.00 MeV   1.175E+00  5.615E-04  387.01 um    13.74 um     2.78 um  
 200.00 MeV   1.081E+00  5.106E-04  465.77 um    17.72 um     3.32 um  
 225.00 MeV   9.860E-01  4.590E-04  573.25 um    23.37 um     4.04 um  
 250.00 MeV   9.094E-01  4.173E-04  690.43 um    28.69 um     4.82 um  
 275.00 MeV   8.457E-01  3.828E-04  816.96 um    33.84 um     5.66 um  
