============================== SRIM-2003.26 ==============================
==============================================================================
=================  TRANSMIT.txt : File of Transmitted Ions  ==================
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom. B= Backscattered Ion. T= Transmitted Ion.   =
=  Col.#2: Ion Number. Col.#3: Z of atom leaving. Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target. Y.Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.  NOTE: Use hotkey  C  for details.=
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.=  F(11.4 MeV) ==> Graphite (carbon)( 1.24 um) ==============
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T    1  9 .8143723E+07   1251300E-02  .2227E+04  .8226E+01   .9845727  .1749486 -.0030936
T    2  9 .8229062E+07   1256713E-02  .2314E+04  .9118E+01   .9823215  .1871359  .0049710
T    3  9 .8116861E+07   1250081E-02  .2181E+04 -.3656E+02   .9859791  .1668455 -.0027810
T    4  9 .8112615E+07   1248310E-02  .2132E+04  .5792E+02   .9850479  .1722571  .0028580
T    5  9 .8193857E+07   1249606E-02  .2213E+04 -.9727E+02   .9844144  .1751514 -.0158183
T    6  9 .8095592E+07   1253453E-02  .2229E+04 -.9322E+02   .9846779  .1740734 -.0103855
T    7  9 .8190855E+07   1253210E-02  .2175E+04 -.5144E+02   .9843892  .1759255 -.0053080
T    8  9 .8220524E+07   1253408E-02  .2101E+04  .5614E+02   .9876651  .1565729  .0016152
T    9  9 .8082470E+07   1252677E-02  .2286E+04 -.2783E+02   .9837585  .1794946  .0009924
T   10  9 .8209908E+07   1250289E-02  .2228E+04  .4235E+02   .9850403  .1720912  .0089608
T   11  9 .8207510E+07   1253846E-02  .2219E+04  .2465E+01   .9857369  .1682715  .0027241
T   12  9 .8099655E+07   1252397E-02  .2251E+04 -.2391E+02   .9839403  .1783475  .0073279
T   13  9 .8141324E+07   1255378E-02  .2248E+04  .1050E+03   .9839215  .1782677  .0109124
T   14  9 .8149665E+07   1252445E-02  .2191E+04 -.2966E+02   .9857117  .1684171 -.0028455
T   15  9 .8208068E+07   1250449E-02  .2218E+04 -.6687E+02   .9841878  .1764511 -.0154734
T   16  9 .8120931E+07   1255484E-02  .2202E+04 -.4230E+01   .9855315  .1694630 -.0031584
T   17  9 .8099010E+07   1249212E-02  .2135E+04  .7296E+01   .9861456  .1658481  .0033677
T   18  9 .8159987E+07   1251103E-02  .2244E+04 -.5133E+02   .9843203  .1761896 -.0084076
T   19  9 .8176001E+07   1252375E-02  .2182E+04 -.5782E+02   .9849798  .1722502 -.0120240
T   20  9 .8204623E+07   1248374E-02  .2326E+04 -.5778E+02   .9813861  .1916531 -.0122641
T   21  9 .8116795E+07   1249462E-02  .2230E+04 -.5602E+02   .9827077  .1842230 -.0186388
T   22  9 .8222427E+07   1249869E-02  .2202E+04  .1281E+02   .9849609  .1727495 -.0031061
T   23  9 .8170037E+07   1251362E-02  .2238E+04 -.1452E+02   .9834533  .1810434 -.0065434
T   24  9 .8102140E+07   1250532E-02  .2186E+04  .6574E+00   .9853895  .1684477  .0251594
T   25  9 .8113563E+07   1248949E-02  .2254E+04  .2284E+02   .9826351  .1855266  .0028437
T   26  9 .8138084E+07   1248375E-02  .2197E+04 -.1096E+03   .9843571  .1755412 -.0150445
T   27  9 .8091878E+07   1249481E-02  .2141E+04  .7986E+02   .9864331  .1640010  .0073104
T   28  9 .8142514E+07   1251901E-02  .2252E+04 -.2509E+02   .9832464  .1822478 -.0034987
T   29  9 .8105154E+07   1251409E-02  .2241E+04 -.4874E+02   .9854045  .1702065 -.0027903
T   30  9 .8161117E+07   1253729E-02  .2191E+04 -.9625E+01   .9844114  .1758254  .0044341
T   31  9 .8209940E+07   1253516E-02  .2112E+04 -.3850E+02   .9860539  .1664164 -.0018091
T   32  9 .8142337E+07   1250017E-02  .2199E+04  .6503E+02   .9835458  .1804244  .0091991
T   33  9 .8196837E+07   1249099E-02  .2194E+04 -.4211E+02   .9840554  .1777114 -.0073169
T   34  9 .8152660E+07   1252249E-02  .2290E+04 -.8005E+02   .9826886  .1849447 -.0108890
T   35  9 .8151404E+07   1253667E-02  .2254E+04  .3980E+02   .9830195  .1832956  .0086858
T   36  9 .8060683E+07   1252489E-02  .2233E+04  .1113E+02   .9842199  .1768189  .0068031
T   37  9 .8140810E+07   1248679E-02  .2246E+04 -.1616E+03   .9831935  .1812817 -.0216204
T   38  9 .8138499E+07   1255475E-02  .2181E+04 -.6224E+02   .9857721  .1678885 -.0081760
T   39  9 .8112771E+07   1252889E-02  .2239E+04 -.1196E+02   .9836971  .1797891  .0039800
T   40  9 .8203201E+07   1250727E-02  .2209E+04 -.4573E+02   .9845505  .1750576 -.0038912
T   41  9 .8075834E+07   1252493E-02  .2239E+04  .3144E+02   .9837671  .1791970  .0095244
T   42  9 .8190419E+07   1256073E-02  .2055E+04 -.1607E+03   .9875033  .1569152 -.0146585
T   43  9 .8141071E+07   1256333E-02  .2205E+04 -.8367E+02   .9844916  .1749929 -.0123975
