============================== SRIM-2003.26 ==============================
==============================================================================
=================  TRANSMIT.txt : File of Transmitted Ions  ==================
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom, B= Backscattered Ion, T= Transmitted Ion.   =
=  Col.#2: Ion Number, Col.#3: Z of atom leaving, Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target, Y,Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.  NOTE: Use hotkey  C  for details.=
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.=  F(13.8 MeV) ==> Polyethylene( 7527 A) ====================
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T 3896  9 .1273194E+08   7537584E-03 -.1720E+02  .3577E+01   .9999969 -.0019281  .0015916
T 3897  9 .1268871E+08   7555929E-03  .1444E+02  .4873E+01   .9999755  .0061954  .0032638
T 3898  9 .1271924E+08   7540559E-03  .7241E+01  .5532E+00   .9999959  .0028659  .0001792
T 3899  9 .1273375E+08   7553180E-03  .6640E+00  .7969E+01   .9999995  .0008987 -.0004077
T 3900  9 .1268528E+08   7566378E-03  .1128E+02 -.1478E+02   .9999905  .0025485 -.0035486
T 3901  9 .1264732E+08   7541408E-03 -.4575E+01 -.7257E+01   .9999984 -.0016147  .0007573
T 3902  9 .1267970E+08   7532865E-03  .9165E+01  .9710E+01   .9999941  .0027416  .0020467
T 3903  9 .1268714E+08   7570991E-03 -.2167E+02 -.4298E+01   .9999836 -.0056527 -.0008671
T 3904  9 .1267985E+08   7596709E-03  .6229E+01  .9274E+01   .9999981  .0019200  .0002049
T 3905  9 .1266175E+08   7534595E-03 -.4180E+01 -.4703E+00   .9999999 -.0002076  .0003824
T 3906  9 .1264182E+08   7550454E-03  .7729E+01  .2526E+01   .9999984  .0010567  .0014603
T 3907  9 .1270884E+08   7596283E-03  .1005E+02  .3953E+01   .9999966  .0022212  .0013954
T 3908  9 .1266433E+08   7559875E-03  .4821E+01  .8972E-01   .9999998 -.0006231  .0001898
T 3909  9 .1273097E+08   7568947E-03  .3153E+02 -.4933E+02   .9999515  .0054074 -.0082276
T 3910  9 .1265223E+08   7583028E-03  .1431E+02  .1079E+02   .9999941  .0029308  .0017844
T 3911  9 .1266490E+08   7546494E-03  .3567E+01 -.2107E+01   .9999962  .0019561 -.0019229
T 3912  9 .1269904E+08   7529204E-03 -.1308E+01 -.1785E+02   .9999874 -.0004873 -.0050045
T 3913  9 .1267461E+08   7548205E-03 -.2611E+01 -.1161E+02   .9999920 -.0022270 -.0033195
T 3914  9 .1266425E+08   7546614E-03  .2446E+01 -.1452E+02   .9999897  .0017938 -.0041684
T 3915  9 .1268021E+08   7538353E-03 -.3126E+01  .1638E+02   .9999827 -.0012106  .0057526
T 3916  9 .1269263E+08   7580547E-03 -.4781E+01 -.6852E+01   .9999989  .0005736 -.0014008
T 3917  9 .1267989E+08   7532891E-03 -.3015E+01 -.1563E+02   .9999521 -.0004989 -.0097731
T 3918  9 .1272852E+08   7539634E-03  .4824E+01  .1276E+01   .9999745  .0014462  .0069982
T 3919  9 .1267085E+08   7593204E-03 -.5547E+01  .6995E+01   .9999976 -.0013403  .0017512
T 3920  9 .1266841E+08   7575539E-03 -.1891E+02 -.4669E+00   .9999912 -.0041689 -.0004228
T 3921  9 .1266215E+08   7545345E-03 -.1949E+01  .1437E+02   .9999876 -.0000778  .0049844
T 3922  9 .1271399E+08   7585914E-03 -.1351E+02  .3989E+02   .9999857 -.0013382  .0051834
T 3923  9 .1267591E+08   7564098E-03  .1568E+02  .3887E+01   .9999979  .0017765  .0009768
T 3924  9 .1267045E+08   7528898E-03  .6816E+01 -.1475E+02   .9999979  .0011448 -.0016810
T 3925  9 .1268686E+08   7566192E-03 -.1581E+02 -.7745E+01   .9999977 -.0016741 -.0013302
T 3926  9 .1270991E+08   7528433E-03 -.4683E+01 -.9458E+01   .9999964 -.0001913 -.0026852
T 3927  9 .1267698E+08   7539805E-03  .5802E+01  .2420E+01   .9999996 -.0005486  .0006912
T 3928  9 .1268253E+08   7535517E-03  .9605E+01  .7859E+01   .9999833  .0050103  .0028729
T 3929  9 .1268410E+08   7565634E-03 -.2498E+01 -.1517E+02   .9999924 -.0012836 -.0036828
T 3930  9 .1267813E+08   7545912E-03  .1831E+02  .3264E+02   .9999617  .0048326  .0073012
T 3931  9 .1268130E+08   7582125E-03  .6891E+01  .1872E+01   .9999909  .0042359 -.0004861
T 3932  9 .1269618E+08   7560457E-03 -.9613E+00  .4434E+01   .9999988  .0006514  .0014314
T 3933  9 .1266643E+08   7575719E-03 -.2856E+02 -.1151E+02   .9999727 -.0065001 -.0035131
T 3934  9 .1264802E+08   7582851E-03  .8111E+01  .3704E+01   .9999999  .0001546 -.0003083
T 3935  9 .1272028E+08   7545806E-03 -.5127E+01 -.1345E+01   .9999981 -.0017471  .0008874
T 3936  9 .1271476E+08   7532998E-03 -.4434E+01  .8421E+01   .9999883 -.0005995  .0048049
T 3937  9 .1267798E+08   7555411E-03  .3127E+01 -.6086E+00   .9999977  .0002698 -.0021502
T 3938  9 .1270814E+08   7564018E-03  .3295E+01 -.2077E+01   .9999972  .0015429 -.0017674
T 3939  9 .1269859E+08   7553224E-03 -.1345E+02  .2161E+02   .9998746  .0045631  .0151675
T 3940  9 .1268645E+08   7536868E-03 -.3363E+01  .1447E+02   .9999785  .0000518  .0065544
T 3941  9 .1264765E+08   7542661E-03 -.1947E+01  .1021E+01   .9999969 -.0023461  .0008272
T 3942  9 .1266281E+08   7576070E-03 -.2160E+01  .6106E+01   .9999996 -.0008271 -.0002284
T 3943  9 .1268375E+08   7539313E-03 -.4652E+01  .2811E+01   .9999922 -.0037927 -.0011375
T 3944  9 .1269357E+08   7551986E-03 -.2258E+01 -.1159E+02   .9999879 -.0005757 -.0048923
T 3945  9 .1271566E+08   7534231E-03 -.1411E+01 -.9160E+01   .9999970  .0004431 -.0023919
T 3946  9 .1268020E+08   7538656E-03 -.1144E+01  .1418E+02   .9999983 -.0005154  .0017449
T 3947  9 .1270954E+08   7527594E-03 -.1180E+02 -.2332E+01   .9999817 -.0060415 -.0002172
T 3948  9 .1266960E+08   7575586E-03 -.9495E+01 -.2006E+02   .9999886 -.0018880 -.0043899
T 3949  9 .1265666E+08   7576279E-03  .1003E+02  .1172E+01   .9999949  .0031900  .0000026
T 3950  9 .1269312E+08   7572258E-03 -.1386E+01  .3231E+01   .9999985 -.0015634 -.0007908
T 3951  9 .1269229E+08   7539695E-03  .3297E+01 -.1273E+02   .9999973  .0009454 -.0021442
T 3952  9 .1270128E+08   7527529E-03 -.1890E+02  .4623E+01   .9999901 -.0044511 -.0002189
T 3953  9 .1269635E+08   7575232E-03  .6565E+00 -.3646E+01   .9999929 -.0033239 -.0017772
T 3954  9 .1266607E+08   7588606E-03  .4924E+01  .1362E+02   .9999944  .0018701  .0027925
T 3955  9 .1268260E+08   7539263E-03  .7000E+01 -.1005E+02   .9999965  .0004077 -.0026013
T 3956  9 .1265758E+08   7545045E-03 -.2287E+01  .1013E+01   .9999994 -.0005950 -.0009352
T 3957  9 .1272203E+08   7558302E-03 -.1707E+02  .1233E+02   .9999761 -.0062543  .0029624
T 3958  9 .1267082E+08   7540699E-03 -.8089E+01 -.6476E+01   .9999936 -.0031272 -.0017108
T 3959  9 .1267498E+08   7549241E-03  .1101E+02  .2175E+02   .9999816  .0032236  .0051445
T 3960  9 .1266330E+08   7528991E-03  .1325E+01  .7780E+01   .9999962  .0002845  .0027309
T 3961  9 .1267054E+08   7574269E-03 -.5132E+01 -.1212E+00   .9999994 -.0009144 -.0005967
T 3962  9 .1266423E+08   7545361E-03 -.1059E+02  .2137E+01   .9999978 -.0020638  .0002615
T 3963  9 .1266834E+08   7529403E-03 -.3901E+01 -.8042E+01   .9999975 -.0021723  .0005101
T 3964  9 .1271406E+08   7563099E-03 -.6373E+01 -.6364E+01   .9999992 -.0006108 -.0010828
T 3965  9 .1263938E+08   7553249E-03 -.9272E+01  .2699E+00   .9999983 -.0010870  .0015009
T 3966  9 .1266105E+08   7578124E-03  .5214E+01  .1272E+02   .9999896  .0017089  .0042190
T 3967  9 .1274280E+08   7553248E-03  .4660E+01 -.1242E+02   .9999944  .0013427 -.0030625
T 3968  9 .1267180E+08   7555048E-03  .1893E+01  .2550E+01   .9999990  .0008041 -.0011384
T 3969  9 .1271354E+08   7546894E-03  .1586E+01 -.1363E+02   .9999928  .0015739 -.0034481
T 3970  9 .1271804E+08   7580396E-03  .2072E+02  .3816E+01   .9999904  .0043859 -.0001433
T 3971  9 .1270547E+08   7539956E-03 -.2563E+01 -.2653E+02   .9999534 -.0046335 -.0084704
T 3972  9 .1271142E+08   7531209E-03 -.4653E+00  .1268E+02   .9999990  .0011443  .0008028
T 3973  9 .1267532E+08   7539646E-03 -.2852E+01  .2163E+02   .9999858 -.0020286  .0049321
T 3974  9 .1268577E+08   7588039E-03  .4297E+01 -.4409E+01   .9999999 -.0001147  .0001992
T 3975  9 .1268592E+08   7560352E-03  .8502E+00 -.1919E+01   .9999974 -.0021305 -.0008453
T 3976  9 .1272551E+08   7577481E-03 -.5790E+01  .4472E+01   .9999979 -.0017100  .0011338
T 3977  9 .1266034E+08   7571053E-03  .1496E+02 -.3123E+00   .9999944  .0033337  .0001286
T 3978  9 .1264313E+08   7574798E-03  .2177E+01 -.1600E+01   .9999948  .0028259 -.0015469
T 3979  9 .1266233E+08   7589353E-03 -.1040E+02  .8757E+01   .9999946 -.0028793  .0016089
T 3980  9 .1267608E+08   7532148E-03 -.3262E+01  .1125E+02   .9999909 -.0001360  .0042549
T 3981  9 .1266602E+08   7579331E-03 -.1179E+01 -.3956E+00   .9999987  .0008464 -.0013827
T 3982  9 .1268244E+08   7545305E-03  .9963E+01 -.1715E+02   .9999903  .0024455 -.0036525
T 3983  9 .1270127E+08   7563667E-03 -.4542E+00 -.9305E+01   .9999940  .0002128 -.0034636
T 3984  9 .1269164E+08   7588118E-03 -.1235E+02 -.1060E+02   .9999933 -.0025544 -.0026342
T 3985  9 .1266293E+08   7533024E-03 -.1972E+02  .6074E+02   .9998324 -.0051408  .0175721
T 3986  9 .1265082E+08   7565920E-03  .1115E+02 -.8302E+01   .9999822  .0052040 -.0029128
T 3987  9 .1266064E+08   7532088E-03  .5083E+01 -.1959E+02   .9999831  .0011508 -.0056958
T 3988  9 .1268577E+08   7588735E-03  .9110E+01 -.6445E+01   .9999943  .0026150 -.0021241
T 3989  9 .1269441E+08   7561925E-03 -.1009E+02  .8101E+01   .9999977 -.0018471  .0011281
T 3990  9 .1270640E+08   7531142E-03 -.2957E+01 -.4927E+01   .9999958  .0006916 -.0028066
T 3991  9 .1270668E+08   7532706E-03 -.1614E+02  .1274E+02   .9999871 -.0031013  .0040254
T 3992  9 .1269673E+08   7559381E-03 -.6400E+01  .1466E+02   .9999932 -.0015053  .0033645
T 3993  9 .1265079E+08   7556100E-03  .7200E+01  .1328E+01   .9999990  .0007045 -.0012109
T 3994  9 .1266481E+08   7541983E-03  .5626E+01  .4452E+01   .9999966  .0026036  .0001597
T 3995  9 .1271314E+08   7546388E-03 -.1470E+02 -.1183E+02   .9999910 -.0030034 -.0030114
T 3996  9 .1267656E+08   7527710E-03 -.1906E+01 -.2894E+01   .9999993 -.0008630 -.0008510
T 3997  9 .1268222E+08   7532060E-03  .9104E+01 -.5991E+00   .9999832  .0037866 -.0043990
T 3998  9 .1268455E+08   7549416E-03 -.6980E+01 -.6157E+01   .9999964 -.0023089 -.0013766
T 3999  9 .1266784E+08   7548769E-03  .1062E+01  .1048E+01   .9999990 -.0008974  .0011056
T 4000  9 .1267235E+08   7571463E-03  .2448E+01  .6176E+01   .9999993  .0007037  .0009799
T 4001  9 .1272074E+08   7569048E-03 -.5577E+01  .3868E+00   .9999989 -.0012314 -.0007712
T 4002  9 .1265267E+08   7589392E-03  .1271E+02 -.1699E+02   .9999808  .0047520 -.0039786
T 4003  9 .1267654E+08   7548609E-03  .2118E+00  .3038E+01   .9999998  .0001324  .0005557
T 4004  9 .1267223E+08   7534500E-03 -.6618E+01  .1146E+02   .9999962  .0005211  .0027153
T 4005  9 .1266974E+08   7560985E-03  .9770E+01  .6336E+01   .9999984  .0016261  .0007979
T 4006  9 .1267929E+08   7577092E-03 -.1879E+02 -.9927E+01   .9999912 -.0034783 -.0023411
T 4007  9 .1269539E+08   7542283E-03  .8251E+01 -.7060E+01   .9999991  .0003595 -.0012867
T 4008  9 .1270127E+08   7537849E-03 -.1514E+01  .1809E+02   .9999970  .0000229  .0024317
T 4009  9 .1266937E+08   7529395E-03  .5858E+01 -.6004E+00   .9999955  .0009415  .0028534
T 4010  9 .1268902E+08   7551452E-03  .9354E+01  .1982E+02   .9999843  .0022107  .0051420
T 4011  9 .1264791E+08   7541613E-03  .1015E+01  .8594E+01   .9999976  .0002773  .0021509
T 4012  9 .1265007E+08   7564458E-03  .1150E+02 -.1990E+01   .9999972  .0020534 -.0011905
T 4013  9 .1266065E+08   7561026E-03  .3760E+02 -.2223E+02   .9999431  .0098733 -.0040494
T 4014  9 .1268870E+08   7577674E-03  .6669E+01  .3869E+00   .9999993  .0010239  .0006041
T 4015  9 .1150909E+08   7572314E-03 -.1139E+03 -.1091E+03   .9982937 -.0382790 -.0440945
T 4016  9 .1268049E+08   7585590E-03 -.1521E+01 -.3381E+01   .9999969 -.0005551  .0024427
T 4017  9 .1264300E+08   7593205E-03 -.1175E+02 -.2372E+01   .9999973 -.0023133  .0001729
T 4018  9 .1272331E+08   7537202E-03 -.2288E+01  .1573E+01   .9999974 -.0015249  .0016790
T 4019  9 .1268491E+08   7539321E-03  .1376E+02 -.3816E+01   .9999901  .0043892 -.0007814
T 4020  9 .1268970E+08   7542434E-03 -.2858E+02 -.9761E+01   .9999911 -.0038969 -.0016413
T 4021  9 .1265684E+08   7549082E-03 -.7306E+01  .6334E+01   .9999945 -.0032166  .0007685
T 4022  9 .1267397E+08   7541072E-03 -.2163E+02 -.3381E+02   .9999584 -.0041806 -.0081012
T 4023  9 .1265759E+08   7553868E-03  .1391E+02 -.1213E+02   .9999807  .0050544 -.0036097
T 4024  9 .1270782E+08   7528186E-03  .6506E+01  .1044E+02   .9999971  .0013542  .0019850
T 4025  9 .1267917E+08   7550376E-03  .1043E+02 -.1334E+02   .9999950  .0025045 -.0019139
T 4026  9 .1271375E+08   7538847E-03  .1106E+01  .1091E+01   .9999991 -.0008976  .0010055
T 4027  9 .1265553E+08   7558692E-03  .1237E+01 -.1739E+02   .9999903 -.0004679 -.0043867
T 4028  9 .1268749E+08   7559030E-03  .1420E+02  .8614E+01   .9999879  .0043177  .0023564
T 4029  9 .1269602E+08   7550674E-03 -.8316E+01  .6964E+01   .9999991 -.0005408  .0012412
T 4030  9 .1265973E+08   7554545E-03  .4810E+01  .3116E+02   .9999721  .0005529  .0074494
T 4031  9 .1261356E+08   7560692E-03 -.7714E+01  .1244E+02   .9999955 -.0015260  .0025952
T 4032  9 .1267129E+08   7533945E-03 -.1510E+02 -.4230E+01   .9999462  .0026146 -.0100334
T 4033  9 .1271845E+08   7540078E-03  .1758E+01  .7041E+01   .9999998  .0005784  .0003000
T 4034  9 .1268158E+08   7545839E-03 -.5014E+01 -.6544E+01   .9999983 -.0003108 -.0017958
T 4035  9 .1270636E+08   7561727E-03 -.9677E+01 -.3211E+01   .9999977 -.0020700 -.0005936
T 4036  9 .1266947E+08   7548651E-03 -.2757E+01 -.3342E+01   .9999996  .0002765 -.0008203
T 4037  9 .1262269E+08   7570636E-03 -.1685E+03  .2715E+03   .9986614 -.0282594  .0433220
T 4038  9 .1267338E+08   7555482E-03 -.2762E+01 -.4550E+01   .9999997 -.0003643 -.0006213
T 4039  9 .1264601E+08   7537395E-03 -.1119E+01 -.1320E+02   .9999896 -.0006206 -.0045245
T 4040  9 .1272286E+08   7541627E-03  .9296E+00  .1341E+01   .9999996  .0007628 -.0004412
T 4041  9 .1272928E+08   7569326E-03  .1646E+02 -.7903E+00   .9999953  .0021834  .0021405
T 4042  9 .1268510E+08   7553665E-03  .1118E+02 -.1748E+02   .9999871  .0029533 -.0041293
T 4043  9 .1271771E+08   7569390E-03  .6388E+01 -.5887E+01   .9999993  .0009640 -.0007316
T 4044  9 .1268792E+08   7549719E-03 -.6064E+01  .1156E+02   .9999972 -.0019362  .0013580
T 4045  9 .1268122E+08   7546002E-03 -.7372E+01 -.2422E+01   .9999983  .0016228 -.0008764
T 4046  9 .1269753E+08   7534130E-03  .1733E+02 -.2382E+02   .9999811  .0056226 -.0025049
T 4047  9 .1263997E+08   7582933E-03  .5454E+01 -.3258E+00   .9999968  .0024616  .0005153
T 4048  9 .1268581E+08   7557300E-03 -.9640E+01 -.2692E+00   .9999994 -.0008417 -.0006811
T 4049  9 .1270350E+08   7589183E-03 -.2184E+01  .1312E+02   .9999959 -.0002553  .0028561
T 4050  9 .1266458E+08   7538928E-03 -.3934E+01 -.1262E+01   .9999996 -.0002112  .0008214
T 4051  9 .1265270E+08   7553184E-03 -.6966E+01  .4963E+01   .9999999  .0001054 -.0000218
T 4052  9 .1265921E+08   7580017E-03 -.2521E+01  .5282E+01   .9999997  .0004652  .0005598
T 4053  9 .1267131E+08   7576905E-03  .8498E+01 -.4552E+01   .9999984  .0004298 -.0017463
T 4054  9 .1264358E+08   7576030E-03 -.2858E+01  .6698E+01   .9999669 -.0075005  .0031520
T 4055  9 .1268840E+08   7529856E-03 -.7247E+01 -.9501E+00   .9999981 -.0019254 -.0000716
T 4056  9 .1266510E+08   7551818E-03 -.6295E+01  .7856E+01   .9999996 -.0006152  .0006692
T 4057  9 .1271135E+08   7539787E-03  .6272E+00 -.3016E+01   .9999988  .0015076 -.0001932
T 4058  9 .1265610E+08   7551036E-03  .1263E+02 -.6620E+01   .9999937 -.0005335 -.0034965
T 4059  9 .1269963E+08   7528924E-03  .9700E+01 -.6630E+01   .9999953  .0026996 -.0014213
T 4060  9 .1269892E+08   7527359E-03  .1054E+02  .9343E+01   .9999925  .0011930  .0036734
T 4061  9 .1265484E+08   7573386E-03 -.1080E+02  .2124E+01   .9999965 -.0025972  .0005683
T 4062  9 .1267895E+08   7534769E-03  .7405E+01  .4335E+01   .9999943  .0030666  .0014289
T 4063  9 .1270947E+08   7547105E-03  .1107E+02 -.9653E+01   .9999965  .0020960 -.0016129
T 4064  9 .1268057E+08   7536211E-03  .7791E+01  .8190E+01   .9999943  .0018930  .0027870
T 4065  9 .1269552E+08   7535907E-03  .5763E+01 -.2863E+02   .9999785  .0004967 -.0065320
T 4066  9 .1272502E+08   7529470E-03  .3346E+01 -.1439E+01   .9999986  .0005791 -.0015837
T 4067  9 .1266127E+08   7565330E-03 -.1063E+02  .1365E+02   .9999967 -.0013854  .0021677
T 4068  9 .1267414E+08   7565897E-03 -.1066E+02 -.1221E+02   .9999809 -.0036023 -.0050301
T 4069  9 .1268139E+08   7537264E-03  .1585E+01 -.7972E+00   .9999953  .0030699 -.0001433
T 4070  9 .1270252E+08   7545157E-03 -.8744E+01  .4606E+01   .9999990 -.0013019  .0004544
T 4071  9 .1272456E+08   7583466E-03 -.4662E+01  .5238E+01   .9999999  .0001993 -.0004999
T 4072  9 .1267874E+08   7559747E-03  .2130E+01 -.1138E+01   .9999993 -.0005542 -.0010195
T 4073  9 .1269124E+08   7550994E-03  .4636E+01  .7461E+01   .9999947  .0031233  .0009567
T 4074  9 .1268404E+08   7582001E-03 -.1025E+02 -.9547E+01   .9999968 -.0014049 -.0021166
T 4075  9 .1266948E+08   7556387E-03 -.1329E+01  .6285E+01   .9999995 -.0009656 -.0000488
T 4076  9 .1265061E+08   7547074E-03 -.1293E+00 -.1105E+01   .9999205 -.0083785 -.0094268
T 4077  9 .1273607E+08   7546231E-03  .2370E+01 -.1658E+01   .9999993  .0011485 -.0001686
T 4078  9 .1271029E+08   7555353E-03 -.8956E+01  .2837E+01   .9999813 -.0056694  .0023002
T 4079  9 .1266072E+08   7543074E-03  .1390E+01  .1193E+02   .9999937 -.0004613  .0035126
T 4080  9 .1271695E+08   7529411E-03  .7752E+01 -.1069E+02   .9999989  .0004002 -.0014003
T 4081  9 .1271984E+08   7546832E-03 -.3470E+02  .2375E+02   .9999733 -.0058976  .0043158
T 4082  9 .1264439E+08   7571295E-03  .1335E+02 -.8584E+01   .9999902  .0043746 -.0006763
T 4083  9 .1269399E+08   7551706E-03  .1143E+02 -.2323E+02   .9999922 -.0003927 -.0039370
T 4084  9 .1266307E+08   7548900E-03  .2795E+01  .7415E+01   .9999969  .0000927  .0025064
T 4085  9 .1266678E+08   7554007E-03 -.6367E+01  .5302E+01   .9999991 -.0011538  .0006785
T 4086  9 .1267579E+08   7528081E-03  .8474E+01 -.1296E+01   .9999929  .0037553  .0001383
T 4087  9 .1269704E+08   7541412E-03 -.3437E+01  .3483E+00   .9999986 -.0013738  .0009326
T 4088  9 .1268500E+08   7559458E-03  .1184E+02  .3039E+01   .9999961  .0024960  .0012751
T 4089  9 .1268523E+08   7559238E-03 -.5521E+01  .1963E+02   .9999646 -.0081647 -.0020179
T 4090  9 .1266505E+08   7539736E-03  .2300E+02  .1397E+00   .9999913  .0040903 -.0007746
T 4091  9 .1266551E+08   7566636E-03 -.3391E+01 -.6207E+01   .9999986 -.0016607 -.0001246
T 4092  9 .1269505E+08   7586388E-03  .3778E+02 -.3166E+02   .9999475  .0068609 -.0076078
T 4093  9 .1267008E+08   7564093E-03 -.2637E+01 -.7768E+01   .9999928  .0036049 -.0011972
T 4094  9 .1267822E+08   7582275E-03 -.4795E+01 -.1004E+02   .9999893 -.0043355 -.0016311
T 4095  9 .1268629E+08   7538246E-03  .4657E+01 -.1159E+02   .9999980  .0015863 -.0012342
T 4096  9 .1270718E+08   7551936E-03 -.3549E+01 -.1880E+02   .9999871 -.0022260 -.0045709
T 4097  9 .1270076E+08   7553809E-03  .4173E+01  .5633E+00   .9999988  .0015169  .0001429
T 4098  9 .1271429E+08   7542942E-03 -.2587E+01 -.1340E+02   .9999928  .0021944 -.0030838
T 4099  9 .1268539E+08   7572802E-03 -.3949E+00 -.7749E+01   .9999985  .0000622 -.0017278
T 4100  9 .1267014E+08   7599253E-03  .6151E+01 -.1661E+01   .9999988  .0014050  .0007000
T 4101  9 .1270450E+08   7528432E-03  .6714E+01 -.4458E+01   .9999986  .0014978 -.0008054
T 4102  9 .1269459E+08   7528618E-03  .1205E+02  .5068E+01   .9999965  .0026020  .0004971
T 4103  9 .1266618E+08   7578954E-03  .5863E+01  .1072E+02   .9999954  .0029903  .0005541
T 4104  9 .1266002E+08   7546517E-03  .1542E+01  .1104E+02   .9999994 -.0006158  .0008843
T 4105  9 .1266052E+08   7567032E-03 -.1156E+02  .3191E+01   .9999984 -.0017212 -.0004030
T 4106  9 .1270214E+08   7532230E-03  .5350E+01 -.9124E+01   .9999993  .0011626 -.0001352
T 4107  9 .1266294E+08   7538337E-03  .1928E+01  .6251E+01   .9999991  .0011297 -.0007529
T 4108  9 .1264336E+08   7549539E-03 -.6412E+00  .9435E+01   .9999969 -.0008298  .0023365
T 4109  9 .1272735E+08   7547638E-03 -.3179E+00  .9494E+00   .9999999  .0004764  .0000294
T 4110  9 .1270616E+08   7554014E-03  .1529E+02  .5583E+01   .9999987  .0014171  .0007025
T 4111  9 .1270224E+08   7529060E-03 -.2252E+01  .1381E+02   .9999928  .0009030  .0036868
T 4112  9 .1270093E+08   7539042E-03 -.5073E+00 -.1294E+02   .9999831  .0004883 -.0057946
T 4113  9 .1268433E+08   7555289E-03 -.4479E+01  .1001E+01   .9999956 -.0027382 -.0011705
T 4114  9 .1267851E+08   7565541E-03 -.1220E+01 -.1385E+02   .9999976 -.0015276 -.0015611
T 4115  9 .1269863E+08   7575770E-03 -.1236E+01  .3507E+00   .9999999 -.0000533 -.0000166
T 4116  9 .1270318E+08   7576247E-03  .8928E+01 -.1414E+02   .9999979  .0013506 -.0015381
T 4117  9 .1265550E+08   7578189E-03 -.1242E+02  .6110E+01   .9999978 -.0020576 -.0003940
T 4118  9 .1268637E+08   7533836E-03 -.9577E+01  .4421E+01   .9999531 -.0081708  .0051981
T 4119  9 .1267705E+08   7548653E-03 -.2727E+02  .7174E+01   .9999959 -.0025547  .0012931
T 4120  9 .1273534E+08   7534532E-03 -.3904E+01 -.5798E+01   .9999990 -.0014151 -.0002676
T 4121  9 .1265047E+08   7564891E-03 -.8516E+01  .1337E+02   .9999861 -.0020205  .0048802
T 4122  9 .1270490E+08   7543044E-03 -.6302E+01  .3570E+01   .9999988 -.0015432 -.0001902
T 4123  9 .1267742E+08   7550269E-03 -.4806E+01 -.1834E+02   .9999908  .0009859 -.0041694
T 4124  9 .1271014E+08   7535274E-03 -.3466E+02  .1349E+02   .9999528 -.0093960  .0024598
T 4125  9 .1268346E+08   7531591E-03 -.1029E+02 -.2125E+02   .9999949 -.0006378 -.0031177
T 4126  9 .1266672E+08   7560617E-03 -.7490E+01 -.1527E+01   .9999999  .0003328 -.0003793
T 4127  9 .1267108E+08   7575409E-03 -.1788E+02  .3116E+02   .9999688 -.0040420  .0067878
T 4128  9 .1268429E+08   7571735E-03  .7368E+01 -.7305E+01   .9999965  .0025380  .0008006
T 4129  9 .1270261E+08   7538424E-03 -.1036E+02 -.1147E+02   .9999952 -.0025547 -.0017683
T 4130  9 .1267562E+08   7532139E-03 -.1478E+02 -.1534E+02   .9999815 -.0041947 -.0044144
T 4131  9 .1266060E+08   7530370E-03  .2294E+01  .1454E+02   .9999720 -.0017646  .0072723
T 4132  9 .1269080E+08   7541961E-03  .9519E+01  .8610E+01   .9999953  .0028619  .0010938
T 4133  9 .1272461E+08   7529627E-03 -.6649E+01  .1068E+02   .9999992 -.0007174  .0010687
T 4134  9 .1270768E+08   7528751E-03  .1394E+02 -.1213E+02   .9999923  .0001253 -.0039274
T 4135  9 .1269691E+08   7586018E-03  .1447E+01 -.2267E+02   .9999368 -.0050314 -.0100578
T 4136  9 .1264692E+08   7546949E-03 -.9655E+01  .1382E+02   .9999935 -.0027985  .0022899
T 4137  9 .1270832E+08   7542455E-03  .7999E+01  .1856E+02   .9999945  .0024786  .0022226
T 4138  9 .1271612E+08   7531119E-03 -.7134E+01  .4226E+01   .9999845 -.0050465  .0023345
T 4139  9 .1268015E+08   7577409E-03 -.5805E+01  .1609E+01   .9999979  .0002897 -.0020198
T 4140  9 .1267013E+08   7542129E-03 -.1124E+02 -.2110E+02   .9999946 -.0017689 -.0027791
T 4141  9 .1266307E+08   7527252E-03 -.9625E+01 -.5616E+00   .9999942 -.0033175  .0007971
T 4142  9 .1273508E+08   7584283E-03  .2346E+02 -.5034E+01   .9999873  .0047057 -.0017970
T 4143  9 .1272952E+08   7545221E-03 -.1214E+02 -.1336E+02   .9999954 -.0022673 -.0019901
T 4144  9 .1268669E+08   7559152E-03  .1273E+02 -.7401E+00   .9999923  .0025542  .0029802
T 4145  9 .1270167E+08   7552413E-03  .2115E+02 -.3675E+02   .9999854  .0021354 -.0049656
T 4146  9 .1271869E+08   7528771E-03 -.1135E+02 -.3291E+01   .9999933 -.0004357 -.0036342
T 4147  9 .1270611E+08   7533397E-03  .6790E+01 -.3343E+01   .9999999  .0002470  .0004325
T 4148  9 .1265916E+08   7557064E-03  .2566E+01 -.1178E+02   .9999981  .0004114 -.0019197
T 4149  9 .1267879E+08   7565849E-03 -.7427E+01 -.4139E+01   .9999980 -.0020101 -.0000592
T 4150  9 .1270736E+08   7580288E-03 -.4481E+01  .1811E+01   .9999866 -.0033628  .0039249
T 4151  9 .1269569E+08   7554761E-03  .4493E+01  .3881E+00   .9999983  .0018495 -.0001262
