============================== SRIM-2003.26 ==============================
==============================================================================
=================  TRANSMIT.txt : File of Transmitted Ions  ==================
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom, B= Backscattered Ion, T= Transmitted Ion.   =
=  Col.#2: Ion Number, Col.#3: Z of atom leaving, Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target, Y,Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.  NOTE: Use hotkey  C  for details.=
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.=  F(13.8 MeV) ==> Polyethylene( 7527 A) ====================
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T 1358  9 .1269463E+08   7554362E-03 -.9888E+01 -.3213E+01   .9999937 -.0026427 -.0023765
T 1359  9 .1268445E+08   7547371E-03 -.4977E+01 -.3311E+01   .9999978 -.0004869 -.0020517
T 1360  9 .1268447E+08   7545691E-03 -.4160E+01 -.6634E+01   .9999911 -.0010116 -.0040983
T 1361  9 .1270436E+08   7574448E-03 -.1605E+02  .2710E+02   .9999801 -.0023369  .0058611
T 1362  9 .1269452E+08   7596733E-03  .1028E+01  .2408E+01   .9999995 -.0009509 -.0004125
T 1363  9 .1269667E+08   7556921E-03 -.1070E+02 -.9355E+01   .9999933 -.0030909 -.0019372
T 1364  9 .1265678E+08   7551463E-03  .3450E+01 -.2151E+00   .9999976  .0015515  .0015685
T 1365  9 .1267592E+08   7539957E-03 -.4854E+01 -.2317E+01   .9999991 -.0007758 -.0011186
T 1366  9 .1267377E+08   7548273E-03 -.6778E+00  .1457E+02   .9999932 -.0012971  .0034485
T 1367  9 .1270031E+08   7573026E-03 -.7909E+01 -.5103E+01   .9999991 -.0013345 -.0001249
T 1368  9 .1267705E+08   7573902E-03 -.8709E+01 -.3302E+01   .9999955 -.0030002 -.0000601
T 1369  9 .1271307E+08   7534701E-03  .1393E+02 -.1196E+02   .9999971  .0012764 -.0020178
T 1370  9 .1270583E+08   7557230E-03  .1094E+02 -.2578E+01   .9999959  .0026985  .0009399
T 1371  9 .1270704E+08   7538868E-03 -.6728E+01 -.1190E+02   .9999906 -.0011578 -.0041831
T 1372  9 .1263020E+08   7556955E-03  .6613E+01  .6507E+01   .9999978 -.0004309  .0020736
T 1373  9 .1267043E+08   7562758E-03 -.5554E+01 -.2280E+01   .9999978 -.0004717 -.0020265
T 1374  9 .1269912E+08   7542677E-03  .5251E-01 -.3793E+01   .9999954 -.0014236 -.0026927
T 1375  9 .1265260E+08   7544678E-03  .1470E+02  .1073E+02   .9999982 -.0018200  .0004743
T 1376  9 .1271409E+08   7540746E-03 -.5794E+01  .5180E-01   .9999966 -.0023600 -.0010680
T 1377  9 .1272320E+08   7538877E-03 -.3086E+01  .6263E+01   .9999987 -.0014485  .0006832
T 1378  9 .1266803E+08   7528299E-03 -.1426E+01  .4586E+01   .9999989  .0009087  .0011833
T 1379  9 .1271621E+08   7548517E-03 -.3381E+00  .1006E+02   .9999921 -.0009006  .0038680
T 1380  9 .1271871E+08   7534681E-03 -.8054E+01  .4728E+01   .9999949 -.0020739  .0024113
T 1381  9 .1270116E+08   7531994E-03 -.2616E+01 -.3716E+01   .9999967  .0007693 -.0024624
T 1382  9 .1269784E+08   7587235E-03 -.1960E+02  .1033E+02   .9999920 -.0033622  .0021771
T 1383  9 .1266336E+08   7546348E-03  .4517E+01  .2134E+01   .9999990  .0008700  .0011181
T 1384  9 .1269910E+08   7557081E-03  .1999E+01 -.1730E+02   .9999948 -.0004805 -.0031802
T 1385  9 .1270441E+08   7555238E-03  .1839E+01 -.4450E+01   .9999994 -.0008441 -.0007593
T 1386  9 .1270355E+08   7543488E-03 -.8394E+01 -.8570E+00   .9999975 -.0021239 -.0006471
T 1387  9 .1270632E+08   7577600E-03 -.4281E+00 -.5824E+01   .9999916  .0033576 -.0023663
T 1388  9 .1270740E+08   7561629E-03 -.7424E+01 -.4666E+01   .9999984 -.0017600 -.0000679
T 1389  9 .1269669E+08   7592114E-03  .7119E+01 -.1209E+02   .9999970  .0010934 -.0021709
T 1390  9 .1268808E+08   7561072E-03 -.1174E+02 -.2629E+01   .9999973 -.0019947 -.0011550
T 1391  9 .1268988E+08   7559454E-03 -.5728E+01  .4744E+01   .9999962  .0007967  .0026305
T 1392  9 .1273588E+08   7532332E-03 -.2957E+01 -.1454E+01   .9999999  .0004223  .0001992
T 1393  9 .1264569E+08   7571461E-03 -.8040E+00  .1521E+00   .9999999 -.0004206 -.0000849
T 1394  9 .1268893E+08   7549380E-03 -.1466E+01 -.3098E+01   .9999999  .0001917  .0003803
T 1395  9 .1268555E+08   7532076E-03 -.1216E+02 -.1403E+02   .9999931 -.0014685 -.0034251
T 1396  9 .1264772E+08   7557269E-03  .3703E+01  .7583E+00   .9999998 -.0003649  .0005680
T 1397  9 .1268175E+08   7575503E-03 -.1125E+02 -.3252E+01   .9999993 -.0011725 -.0001982
T 1398  9 .1264859E+08   7527724E-03  .9378E+01  .1293E+02   .9999866  .0011553  .0050443
T 1399  9 .1267636E+08   7538234E-03 -.1687E+02 -.7377E+02   .9999363 -.0022410 -.0110635
T 1400  9 .1266969E+08   7544342E-03  .6601E+01  .1091E+02   .9999969  .0011522  .0022273
T 1401  9 .1269100E+08   7535593E-03 -.6527E+01 -.8910E+01   .9999921 -.0026497 -.0029548
T 1402  9 .1268373E+08   7551833E-03  .9221E+01  .1073E+02   .9999980  .0019972  .0002448
T 1403  9 .1273288E+08   7530772E-03  .3624E+02 -.3473E+01   .9999917  .0036053 -.0019010
T 1404  9 .1265962E+08   7568127E-03  .4221E+01  .6251E+01   .9999994  .0009894 -.0005042
T 1405  9 .1265818E+08   7549563E-03 -.9985E+00  .4949E+01   .9999986 -.0002426  .0016334
T 1406  9 .1270334E+08   7538599E-03  .3917E+02 -.1947E+02   .9999789  .0060525 -.0023466
T 1407  9 .1268399E+08   7533159E-03 -.1213E+02  .4177E+01   .9999941 -.0034293 -.0000493
T 1408  9 .1269418E+08   7537724E-03  .5776E+00 -.8607E+01   .9999999  .0002300 -.0003502
T 1409  9 .1268914E+08   7554634E-03 -.1938E+02 -.5579E+01   .9999859 -.0046492 -.0025534
T 1410  9 .1262291E+08   7539483E-03 -.1314E+01 -.1382E+02   .9999887 -.0006305 -.0047164
T 1411  9 .1266422E+08   7533517E-03  .7011E+01  .1928E+00   .9999996  .0009099  .0002674
T 1412  9 .1269450E+08   7548839E-03 -.3140E+01  .8361E+01   .9999966 -.0005327  .0025536
T 1413  9 .1273738E+08   7530059E-03  .3476E+01 -.3423E+01   .9999972 -.0009867  .0021578
T 1414  9 .1268751E+08   7564581E-03 -.3067E+01 -.2129E+01   .9999982 -.0015320 -.0011173
T 1415  9 .1269798E+08   7548279E-03 -.5325E+01 -.8095E+00   .9999998 -.0004055  .0005183
T 1416  9 .1271298E+08   7580584E-03 -.1600E+02 -.1344E+02   .9999934 -.0025062 -.0026384
T 1417  9 .1271974E+08   7532621E-03  .1127E+02  .1137E+02   .9999921  .0023944  .0031627
T 1418  9 .1268179E+08   7534734E-03  .2099E+02  .1086E+01   .9999951  .0028503 -.0012690
T 1419  9 .1272912E+08   7564021E-03  .8685E+00 -.1136E+01   .9999999  .0000937 -.0001682
T 1420  9 .1266097E+08   7585542E-03  .5096E+01  .7310E+01   .9999952  .0023895  .0019661
T 1421  9 .1268049E+08   7545113E-03  .9502E+01 -.1237E+02   .9999968  .0018845 -.0017099
T 1422  9 .1264992E+08   7576176E-03  .3144E+02 -.1794E+02   .9999536  .0075916 -.0059294
T 1423  9 .1267600E+08   7530535E-03  .8895E+01 -.6961E+01   .9999962  .0012650 -.0024306
T 1424  9 .1271913E+08   7539723E-03 -.7604E+01  .4562E+01   .9999984 -.0014109  .0010863
T 1425  9 .1267527E+08   7569801E-03  .5873E+01 -.8815E+01   .9999970  .0004702 -.0024149
T 1426  9 .1270551E+08   7531811E-03 -.9916E+01 -.1414E+02   .9999877 -.0027174 -.0041440
T 1427  9 .1269181E+08   7529923E-03 -.1216E+02  .5859E+01   .9999967 -.0023334 -.0010318
T 1428  9 .1270739E+08   7544847E-03  .1080E+01 -.3572E+01   .9999980 -.0018502 -.0007568
T 1429  9 .1266925E+08   7589106E-03 -.1513E+02 -.1413E+02   .9999849 -.0039007 -.0038773
T 1430  9 .1268819E+08   7532947E-03  .2326E+01 -.1121E+02   .9999914  .0011289 -.0039887
T 1431  9 .1265722E+08   7555066E-03 -.8806E+02  .2137E+02   .9999373 -.0110154  .0020041
T 1432  9 .1267149E+08   7552615E-03 -.2659E+02  .2182E+01   .9999704 -.0076863  .0002237
T 1433  9 .1273164E+08   7541331E-03 -.1345E+01 -.7097E+01   .9999968 -.0011031 -.0022914
T 1434  9 .1267419E+08   7568699E-03 -.4733E+01  .4449E+01   .9999965 -.0026099  .0004208
T 1435  9 .1267207E+08   7543374E-03  .3245E+01 -.2047E+01   .9999999  .0002494 -.0004721
T 1436  9 .1270871E+08   7549315E-03 -.2479E+01  .4105E+01   .9999993 -.0010701 -.0005886
T 1437  9 .1265914E+08   7530216E-03 -.2453E+02 -.2083E+02   .9999828 -.0049747 -.0031173
T 1438  9 .1271221E+08   7528753E-03  .1876E+02 -.6445E+01   .9999919  .0040082 -.0003477
T 1439  9 .1270385E+08   7541746E-03 -.4317E+00 -.3728E+00   .9999976  .0018153  .0012270
T 1440  9 .1265263E+08   7538295E-03 -.1727E+02  .7500E+00   .9999927 -.0036400 -.0011352
T 1441  9 .1271415E+08   7542542E-03  .5894E+01 -.2323E+01   .9999974  .0022050 -.0006519
T 1442  9 .1269605E+08   7585333E-03  .2941E+01 -.1035E+01   .9999958  .0020825 -.0020285
T 1443  9 .1264265E+08   7578851E-03 -.3376E+02  .2507E+02   .9999389 -.0082649  .0073375
T 1444  9 .1273666E+08   7536604E-03 -.7473E+01 -.7782E+01   .9999962 -.0024927 -.0011739
T 1445  9 .1267207E+08   7565592E-03  .1163E+01  .3047E+01   .9999998  .0000413  .0006619
T 1446  9 .1267291E+08   7564424E-03  .3969E+01 -.1164E+02   .9999971  .0011879 -.0020829
T 1447  9 .1271118E+08   7587368E-03  .1301E+02 -.8941E+01   .9999970  .0014651 -.0019656
T 1448  9 .1264652E+08   7593981E-03 -.8186E+01 -.8309E+01   .9999965 -.0019138 -.0018249
T 1449  9 .1273267E+08   7539780E-03 -.8030E+01 -.6028E+01   .9999986  .0016779  .0002823
T 1450  9 .1266507E+08   7550648E-03  .7910E+01  .6734E+01   .9999902  .0013378  .0042091
T 1451  9 .1268820E+08   7569381E-03 -.1442E+01  .1100E+01   .9999992 -.0009873  .0007653
T 1452  9 .1265362E+08   7565725E-03 -.1748E+02 -.2133E+01   .9999936 -.0035459  .0004794
T 1453  9 .1271287E+08   7551462E-03  .1830E+02 -.2722E+02   .9999807  .0033217 -.0052536
T 1454  9 .1271534E+08   7527986E-03  .1566E+02  .3560E+01   .9999672  .0079701 -.0014106
T 1455  9 .1267717E+08   7531665E-03  .3130E+01  .1002E+02   .9999975  .0021775  .0004897
T 1456  9 .1270828E+08   7529846E-03  .3788E+01 -.2931E+01   .9999909 -.0040604 -.0013124
T 1457  9 .1267534E+08   7539134E-03 -.1040E+02 -.9447E+01   .9999999 -.0001273 -.0002933
T 1458  9 .1269536E+08   7549606E-03  .2411E+01  .7009E+00   .9999986  .0016508 -.0002215
T 1459  9 .1268514E+08   7530329E-03 -.7830E+01 -.2619E+00   .9999981 -.0016644  .0010338
T 1460  9 .1265823E+08   7540241E-03  .9106E+01 -.8447E+01   .9999940  .0028706 -.0019405
T 1461  9 .1268172E+08   7540491E-03 -.8445E+01  .1801E+01   .9999974 -.0017445 -.0014461
T 1462  9 .1268452E+08   7565577E-03 -.4484E+00 -.1700E+02   .9999936 -.0010352 -.0034117
T 1463  9 .1271401E+08   7588417E-03  .3087E+01 -.2573E+02   .9999845  .0010191 -.0054692
