============================== SRIM-2003.26 ==============================
==============================================================================
=================  TRANSMIT.txt : File of Transmitted Ions  ==================
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom, B= Backscattered Ion, T= Transmitted Ion.   =
=  Col.#2: Ion Number, Col.#3: Z of atom leaving, Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target, Y,Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.  NOTE: Use hotkey  C  for details.=
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.=  F(11.4 MeV) ==> Layer 1( 1.24 um) ========================
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T    1  9 .8064244E+07   1243685E-02 -.4486E+02 -.3474E+02   .9999781 -.0065515 -.0009146
T    2  9 .8126443E+07   1241247E-02 -.4903E+02 -.2579E+02   .9999466 -.0091223  .0048492
T    3  9 .8024826E+07   1240876E-02 -.1507E+02  .1070E+03   .9999182  .0126829  .0016597
T    4  9 .8114563E+07   1240143E-02  .7313E+01 -.1733E+01   .9999861  .0036897 -.0037602
T    5  9 .8172423E+07   1244687E-02  .4440E+02 -.2951E+02   .9999804  .0016513 -.0060465
T    6  9 .8118746E+07   1240981E-02 -.5459E+02  .8436E+02   .9999479 -.0018146  .0100463
T    7  9 .7909071E+07   1248882E-02  .8827E+03 -.9934E+02   .9943116  .1046615 -.0197566
T    8  9 .8100944E+07   1242888E-02  .2846E+02 -.3334E+02   .9999562  .0059295 -.0072370
T    9  9 .8039045E+07   1242247E-02 -.5638E+02 -.3565E+02   .9999353 -.0106534 -.0039808
T   10  9 .8009772E+07   1246136E-02 -.5187E+01  .7293E+01   .9995553  .0275580  .0113882
T   11  9 .8104513E+07   1240643E-02 -.5040E+02 -.5184E+02   .9999011 -.0048058 -.0132187
T   12  9 .8088295E+07   1242524E-02 -.7254E+02  .2269E+02   .9999363 -.0111485  .0017369
T   13  9 .8024993E+07   1245594E-02  .3913E+02 -.9160E+02   .9998846  .0042255 -.0145890
T   14  9 .8105560E+07   1240311E-02  .3060E+02 -.1425E+02   .9999714  .0074220 -.0014763
T   15  9 .8139038E+07   1240017E-02  .1414E+02 -.3279E+02   .9999755  .0058676 -.0038263
T   16  9 .8159682E+07   1251546E-02 -.4110E+02 -.7167E+01   .9999526 -.0096011  .0015955
T   17  9 .8061564E+07   1244048E-02 -.3677E+02  .8355E+02   .9999786 -.0020610  .0062155
T   18  9 .8105334E+07   1241759E-02  .8121E+02  .1015E+02   .9999321  .0113215  .0027432
T   19  9 .8154664E+07   1245681E-02  .4823E+02 -.3448E+02   .9999312  .0099474 -.0062201
T   20  9 .8141483E+07   1241529E-02 -.5160E+02  .6591E+02   .9999013 -.0065715  .0124153
T   21  9 .8068122E+07   1242702E-02  .2402E+01 -.9821E+02   .9998349 -.0030303 -.0179171
T   22  9 .8065337E+07   1248494E-02  .8460E+02 -.1221E+01   .9999795  .0041701 -.0048531
T   23  9 .8142595E+07   1244779E-02 -.3705E+01  .2568E+02   .9999876 -.0022158 -.0044690
T   24  9 .8181082E+07   1245918E-02 -.8491E+02 -.6339E+02   .9997729 -.0177113 -.0118554
T   25  9 .8140476E+07   1241249E-02 -.1708E+03 -.5133E+02   .9993546 -.0337641 -.0122599
T   26  9 .8036009E+07   1243132E-02 -.7211E+02  .5663E+02   .9999279 -.0028278  .0116709
T   27  9 .8119391E+07   1240841E-02 -.3739E+02 -.1081E+03   .9997749 -.0054611 -.0205025
T   28  9 .8120669E+07   1244264E-02 -.2167E-01  .1305E+02   .9999987 -.0015319 -.0004976
T   29  9 .8153751E+07   1244746E-02  .1753E+02 -.7324E+02   .9999817  .0011790 -.0059375
T   30  9 .8053103E+07   1242244E-02 -.4041E+02 -.7434E+02   .9999408 -.0042419 -.0100208
T   31  9 .8135861E+07   1243811E-02 -.1028E+02  .6278E+02   .9999209 -.0080914  .0096287
T   32  9 .8091357E+07   1245215E-02  .1863E+02  .1088E+03   .9998638  .0099459  .0131701
T   33  9 .8032850E+07   1246228E-02  .4453E+02 -.2008E+02   .9999958  .0021653  .0019511
T   34  9 .8176597E+07   1245745E-02  .1287E+02  .1589E+02   .9999913 -.0038185  .0016691
T   35  9 .8075551E+07   1242904E-02  .4919E+02  .2295E+02   .9999234  .0111120  .0054592
T   36  9 .8072439E+07   1245190E-02  .1811E+02  .3260E+02   .9999963  .0016731  .0021264
T   37  9 .8142844E+07   1247860E-02  .6534E+01 -.3217E+01   .9999321 -.0006640  .0116379
T   38  9 .8166804E+07   1240191E-02 -.1048E+03 -.4228E+02   .9999466 -.0103208 -.0005580
T   39  9 .8155406E+07   1249190E-02  .5921E+02  .3332E+02   .9999645  .0069726  .0047213
T   40  9 .8048380E+07   1243456E-02 -.1336E+03 -.1479E+02   .9998581 -.0116615 -.0121567
T   41  9 .8104898E+07   1243349E-02  .4130E+02 -.1707E+02   .9996798  .0100768  .0232123
T   42  9 .8080295E+07   1244543E-02 -.1318E+03  .4259E+02   .9998181 -.0161395  .0101579
T   43  9 .8209765E+07   1241436E-02 -.5264E+02  .5044E+02   .9998861 -.0092091  .0119610
T   44  9 .8130101E+07   1241827E-02  .3549E+02 -.1227E+01   .9999955  .0000547 -.0030140
T   45  9 .8070400E+07   1246966E-02  .5222E+02  .1900E+02   .9999900  .0039407 -.0020978
T   46  9 .8130594E+07   1246096E-02  .4535E+02  .5352E+02   .9999137  .0051557  .0120828
T   47  9 .8038778E+07   1249039E-02  .4230E+02  .5293E+02   .9999438  .0067201  .0081976
T   48  9 .8052176E+07   1240416E-02 -.2157E+03  .5184E+02   .9991580 -.0403886  .0072199
