 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> July 11, 2019 
 ==================================================================

 Disk File Name = SRIM Outputs\15O_LiF.txt

 Ion = Oxygen [8] , Mass = 15.003 amu

 Target Density =  2.6400E+00 g/cm3 = 1.2258E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Li      3    050.00    026.76   
      F      9    050.00    073.24   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   7.00 MeV   8.715E+00  1.505E-02    4.45 um     1999 A      2562 A   
   8.00 MeV   8.666E+00  1.344E-02    4.89 um     2103 A      2605 A   
   9.00 MeV   8.587E+00  1.216E-02    5.33 um     2202 A      2646 A   
  10.00 MeV   8.490E+00  1.112E-02    5.77 um     2299 A      2685 A   
  11.00 MeV   8.381E+00  1.025E-02    6.22 um     2394 A      2723 A   
  12.00 MeV   8.266E+00  9.516E-03    6.67 um     2487 A      2760 A   
  13.00 MeV   8.147E+00  8.885E-03    7.13 um     2580 A      2796 A   
  14.00 MeV   8.026E+00  8.337E-03    7.60 um     2671 A      2831 A   
  15.00 MeV   7.905E+00  7.857E-03    8.08 um     2762 A      2866 A   
  16.00 MeV   7.785E+00  7.432E-03    8.56 um     2853 A      2902 A   
  17.00 MeV   7.666E+00  7.053E-03    9.05 um     2943 A      2937 A   
  18.00 MeV   7.549E+00  6.713E-03    9.54 um     3034 A      2972 A   
  20.00 MeV   7.320E+00  6.128E-03   10.56 um     3372 A      3043 A   
  22.50 MeV   7.046E+00  5.533E-03   11.88 um     3869 A      3133 A   
  25.00 MeV   6.786E+00  5.048E-03   13.25 um     4341 A      3225 A   
  27.50 MeV   6.539E+00  4.646E-03   14.67 um     4798 A      3320 A   
  30.00 MeV   6.307E+00  4.306E-03   16.14 um     5245 A      3418 A   
  32.50 MeV   6.103E+00  4.015E-03   17.67 um     5686 A      3519 A   
  35.00 MeV   5.867E+00  3.763E-03   19.25 um     6124 A      3624 A   
  37.50 MeV   5.646E+00  3.542E-03   20.89 um     6565 A      3733 A   
  40.00 MeV   5.459E+00  3.347E-03   22.60 um     7009 A      3847 A   
  45.00 MeV   5.117E+00  3.018E-03   26.18 um     8675 A      4088 A   
  50.00 MeV   4.814E+00  2.750E-03   30.00 um     1.02 um     4346 A   
