 ==================================================================
              SRIM version ---> SRIM-2012.03
              Calc. date   ---> November 17, 2013 
 ==================================================================

 Disk File Name = SRIM Outputs\1H_26Mg.txt

 Ion = Hydrogen [1] , Mass = 1.008 amu

 Target Density =  1.7366E+00 g/cm3 = 4.0249E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Mg     12    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
   5.50 MeV   5.201E-02  2.656E-05  356.24 um    15.48 um    15.51 um  
   6.00 MeV   4.873E-02  2.459E-05  413.21 um    17.77 um    17.84 um  
   6.50 MeV   4.588E-02  2.291E-05  473.87 um    20.07 um    20.30 um  
   7.00 MeV   4.337E-02  2.146E-05  538.17 um    22.39 um    22.89 um  
   8.00 MeV   3.918E-02  1.906E-05  677.36 um    30.46 um    28.47 um  
   9.00 MeV   3.580E-02  1.716E-05  830.59 um    38.07 um    34.56 um  
  10.00 MeV   3.300E-02  1.563E-05  997.55 um    45.53 um    41.15 um  
  11.00 MeV   3.065E-02  1.435E-05    1.18 mm    52.99 um    48.23 um  
  12.00 MeV   2.865E-02  1.328E-05    1.37 mm    60.51 um    55.78 um  
  13.00 MeV   2.691E-02  1.236E-05    1.58 mm    68.13 um    63.80 um  
  14.00 MeV   2.540E-02  1.157E-05    1.80 mm    75.87 um    72.28 um  
  15.00 MeV   2.406E-02  1.088E-05    2.03 mm    83.73 um    81.21 um  
  16.00 MeV   2.287E-02  1.026E-05    2.27 mm    91.74 um    90.58 um  
  17.00 MeV   2.181E-02  9.721E-06    2.53 mm    99.90 um   100.39 um  
  18.00 MeV   2.085E-02  9.235E-06    2.80 mm   108.20 um   110.64 um  
  20.00 MeV   1.918E-02  8.401E-06    3.38 mm   137.68 um   132.40 um  
  22.50 MeV   1.748E-02  7.556E-06    4.16 mm   179.72 um   161.95 um  
  25.00 MeV   1.608E-02  6.872E-06    5.02 mm   219.84 um   194.01 um  
  27.50 MeV   1.491E-02  6.306E-06    5.94 mm   259.33 um   228.53 um  
  30.00 MeV   1.392E-02  5.830E-06    6.94 mm   298.77 um   265.44 um  
  32.50 MeV   1.307E-02  5.423E-06    8.00 mm   338.47 um   304.68 um  
  35.00 MeV   1.233E-02  5.072E-06    9.13 mm   378.58 um   346.21 um  
  37.50 MeV   1.167E-02  4.765E-06   10.33 mm   419.22 um   389.98 um  
  40.00 MeV   1.110E-02  4.494E-06   11.59 mm   460.43 um   435.93 um  
  45.00 MeV   1.012E-02  4.039E-06   14.30 mm   607.96 um   534.24 um  
  50.00 MeV   9.317E-03  3.671E-06   17.26 mm   747.33 um   640.82 um  
  55.00 MeV   8.652E-03  3.367E-06   20.46 mm   883.61 um   755.37 um  
  60.00 MeV   8.089E-03  3.111E-06   23.89 mm     1.02 mm   877.60 um  
  65.00 MeV   7.607E-03  2.892E-06   27.55 mm     1.15 mm     1.01 mm  
  70.00 MeV   7.188E-03  2.704E-06   31.43 mm     1.29 mm     1.14 mm  
  80.00 MeV   6.497E-03  2.394E-06   39.84 mm     1.78 mm     1.44 mm  
  90.00 MeV   5.949E-03  2.150E-06   49.08 mm     2.23 mm     1.76 mm  
 100.00 MeV   5.505E-03  1.953E-06   59.12 mm     2.67 mm     2.10 mm  
 110.00 MeV   5.136E-03  1.790E-06   69.92 mm     3.10 mm     2.47 mm  
 120.00 MeV   4.825E-03  1.653E-06   81.46 mm     3.54 mm     2.86 mm  
 130.00 MeV   4.559E-03  1.536E-06   93.71 mm     3.97 mm     3.28 mm  
 140.00 MeV   4.329E-03  1.436E-06  106.64 mm     4.41 mm     3.71 mm  
 150.00 MeV   4.129E-03  1.348E-06  120.23 mm     4.84 mm     4.16 mm  
 160.00 MeV   3.952E-03  1.270E-06  134.45 mm     5.28 mm     4.63 mm  
 170.00 MeV   3.795E-03  1.202E-06  149.28 mm     5.73 mm     5.11 mm  
 180.00 MeV   3.655E-03  1.140E-06  164.71 mm     6.17 mm     5.62 mm  
 200.00 MeV   3.415E-03  1.035E-06  197.24 mm     7.78 mm     6.66 mm  
 225.00 MeV   3.173E-03  9.289E-07  240.89 mm    10.03 mm     8.05 mm  
 250.00 MeV   2.978E-03  8.432E-07  287.63 mm    12.11 mm     9.52 mm  
 275.00 MeV   2.818E-03  7.724E-07  337.23 mm    14.10 mm    11.05 mm  
 300.00 MeV   2.684E-03  7.129E-07  389.48 mm    16.03 mm    12.65 mm  
 325.00 MeV   2.570E-03  6.622E-07  444.19 mm    17.91 mm    14.30 mm  
 350.00 MeV   2.473E-03  6.185E-07  501.17 mm    19.76 mm    15.99 mm  
 375.00 MeV   2.389E-03  5.804E-07  560.29 mm    21.58 mm    17.72 mm  
 400.00 MeV   2.316E-03  5.468E-07  621.38 mm    23.37 mm    19.50 mm  
 450.00 MeV   2.194E-03  4.905E-07  748.91 mm    29.75 mm    23.13 mm  
 500.00 MeV   2.097E-03  4.450E-07  882.92 mm    35.50 mm    26.87 mm  
 550.00 MeV   2.019E-03  4.075E-07    1.02 m     40.86 mm    30.67 mm  
 600.00 MeV   1.955E-03  3.760E-07    1.17 m     45.93 mm    34.53 mm  
 650.00 MeV   1.902E-03  3.491E-07    1.32 m     50.78 mm    38.43 mm  
 700.00 MeV   1.857E-03  3.260E-07    1.47 m     55.43 mm    42.34 mm  
 800.00 MeV   1.786E-03  2.881E-07    1.79 m     71.59 mm    50.21 mm  
 900.00 MeV   1.734E-03  2.583E-07    2.11 m     85.60 mm    58.06 mm  
   1.00 GeV   1.695E-03  2.342E-07    2.45 m     98.26 mm    65.84 mm  
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  1.7365E+01                 eV / Angstrom 
  1.7365E+02                keV / micron   
  1.7365E+02                MeV / mm       
  1.0000E+00                keV / (ug/cm2) 
  1.0000E+00                MeV / (mg/cm2) 
  1.0000E+03                keV / (mg/cm2) 
  4.3145E+01                 eV / (1E15 atoms/cm2)
  2.8425E+01                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
