 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> July 11, 2019 
 ==================================================================

 Disk File Name = SRIM Outputs\15O_C.txt

 Ion = Oxygen [8] , Mass = 15.003 amu

 Target Density =  2.2530E+00 g/cm3 = 1.1296E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      C      6    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
--------------  ---------- ---------- ----------  ----------  ----------
   8.00 MeV   1.013E+01  1.582E-02    4.32 um     1466 A      1528 A   
   9.00 MeV   9.957E+00  1.431E-02    4.76 um     1602 A      1569 A   
  10.00 MeV   9.774E+00  1.308E-02    5.21 um     1732 A      1609 A   
  11.00 MeV   9.589E+00  1.206E-02    5.66 um     1856 A      1648 A   
  12.00 MeV   9.406E+00  1.119E-02    6.13 um     1977 A      1687 A   
  13.00 MeV   9.226E+00  1.045E-02    6.61 um     2096 A      1725 A   
  14.00 MeV   9.051E+00  9.803E-03    7.09 um     2212 A      1764 A   
  15.00 MeV   8.882E+00  9.237E-03    7.59 um     2327 A      1802 A   
  16.00 MeV   8.718E+00  8.737E-03    8.09 um     2440 A      1840 A   
  17.00 MeV   8.560E+00  8.291E-03    8.60 um     2552 A      1879 A   
  18.00 MeV   8.407E+00  7.891E-03    9.13 um     2663 A      1918 A   
  20.00 MeV   8.117E+00  7.202E-03   10.20 um     3077 A      1997 A   
  22.50 MeV   7.781E+00  6.501E-03   11.59 um     3669 A      2098 A   
  25.00 MeV   7.472E+00  5.931E-03   13.05 um     4218 A      2202 A   
  27.50 MeV   7.185E+00  5.458E-03   14.56 um     4742 A      2309 A   
  30.00 MeV   6.919E+00  5.058E-03   16.13 um     5250 A      2419 A   
  32.50 MeV   6.723E+00  4.716E-03   17.76 um     5743 A      2532 A   
  35.00 MeV   6.493E+00  4.419E-03   19.44 um     6225 A      2649 A   
  37.50 MeV   6.271E+00  4.160E-03   21.18 um     6705 A      2769 A   
  40.00 MeV   6.078E+00  3.930E-03   22.97 um     7182 A      2893 A   
  45.00 MeV   5.724E+00  3.543E-03   26.73 um     8958 A      3151 A   
  50.00 MeV   5.408E+00  3.229E-03   30.72 um     1.06 um     3423 A   
  55.00 MeV   5.122E+00  2.968E-03   34.94 um     1.22 um     3709 A   
  60.00 MeV   4.864E+00  2.749E-03   39.38 um     1.37 um     4009 A   
  65.00 MeV   4.629E+00  2.560E-03   44.06 um     1.53 um     4324 A   
  70.00 MeV   4.414E+00  2.398E-03   48.96 um     1.68 um     4654 A   
  80.00 MeV   4.037E+00  2.130E-03   59.48 um     2.25 um     5357 A   
  90.00 MeV   3.719E+00  1.918E-03   70.93 um     2.77 um     6118 A   
 100.00 MeV   3.446E+00  1.746E-03   83.33 um     3.29 um     6938 A   
 110.00 MeV   3.212E+00  1.604E-03   96.66 um     3.79 um     7817 A   
 120.00 MeV   3.010E+00  1.484E-03  110.94 um     4.30 um     8753 A   
 130.00 MeV   2.833E+00  1.381E-03  126.13 um     4.81 um     9747 A   
 140.00 MeV   2.678E+00  1.293E-03  142.24 um     5.33 um     1.08 um  
 150.00 MeV   2.542E+00  1.215E-03  159.25 um     5.85 um     1.19 um  
 160.00 MeV   2.421E+00  1.147E-03  177.14 um     6.38 um     1.31 um  
 170.00 MeV   2.313E+00  1.086E-03  195.89 um     6.92 um     1.43 um  
 180.00 MeV   2.217E+00  1.032E-03  215.48 um     7.46 um     1.55 um  
 200.00 MeV   2.051E+00  9.385E-04  257.12 um     9.52 um     1.82 um  
 225.00 MeV   1.883E+00  8.442E-04  313.58 um    12.44 um     2.18 um  
 250.00 MeV   1.747E+00  7.677E-04  374.76 um    15.17 um     2.57 um  
 275.00 MeV   1.632E+00  7.045E-04  440.48 um    17.81 um     2.99 um  
 300.00 MeV   1.533E+00  6.512E-04  510.64 um    20.40 um     3.43 um  
 325.00 MeV   1.444E+00  6.058E-04  585.21 um    22.98 um     3.89 um  
 350.00 MeV   1.364E+00  5.665E-04  664.27 um    25.58 um     4.38 um  
 375.00 MeV   1.288E+00  5.322E-04  748.00 um    28.21 um     4.90 um  
 400.00 MeV   1.216E+00  5.020E-04  836.67 um    30.89 um     5.44 um  
 450.00 MeV   1.077E+00  4.512E-04    1.03 mm    41.37 um     6.63 um  
 500.00 MeV   9.886E-01  4.100E-04    1.25 mm    51.40 um     7.93 um  
 550.00 MeV   9.152E-01  3.760E-04    1.48 mm    61.13 um     9.35 um  
 600.00 MeV   8.530E-01  3.474E-04    1.73 mm    70.75 um    10.87 um  
 650.00 MeV   7.998E-01  3.230E-04    2.00 mm    80.37 um    12.50 um  
 700.00 MeV   7.535E-01  3.020E-04    2.28 mm    90.03 um    14.22 um  
 800.00 MeV   6.772E-01  2.674E-04    2.91 mm   125.94 um    17.96 um  
 900.00 MeV   6.168E-01  2.401E-04    3.59 mm   159.18 um    22.07 um  
   1.00 GeV   5.677E-01  2.181E-04    4.34 mm   191.43 um    26.54 um  
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  2.2529E+01                 eV / Angstrom 
  2.2529E+02                keV / micron   
  2.2529E+02                MeV / mm       
  1.0000E+00                keV / (ug/cm2) 
  1.0000E+00                MeV / (mg/cm2) 
  1.0000E+03                keV / (mg/cm2) 
  1.9945E+01                 eV / (1E15 atoms/cm2)
  2.3892E-01                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
