 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> July 11, 2019 
 ==================================================================

 Disk File Name = SRIM Outputs\19F_LiF.txt

 Ion = Fluorine [9] , Mass = 18.998 amu

 Target Density =  2.6400E+00 g/cm3 = 1.2258E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Li      3    050.00    026.76   
      F      9    050.00    073.24   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   7.00 MeV   1.017E+01  2.316E-02    4.23 um     2035 A      2643 A   
   8.00 MeV   1.019E+01  2.070E-02    4.60 um     2112 A      2682 A   
   9.00 MeV   1.015E+01  1.875E-02    4.98 um     2186 A      2719 A   
  10.00 MeV   1.009E+01  1.715E-02    5.35 um     2257 A      2753 A   
  11.00 MeV   1.000E+01  1.582E-02    5.72 um     2327 A      2785 A   
  12.00 MeV   9.905E+00  1.469E-02    6.10 um     2396 A      2816 A   
  13.00 MeV   9.800E+00  1.372E-02    6.49 um     2464 A      2846 A   
  14.00 MeV   9.692E+00  1.288E-02    6.88 um     2531 A      2875 A   
  15.00 MeV   9.581E+00  1.214E-02    7.27 um     2598 A      2904 A   
  16.00 MeV   9.471E+00  1.149E-02    7.67 um     2665 A      2932 A   
  17.00 MeV   9.362E+00  1.091E-02    8.07 um     2731 A      2960 A   
  18.00 MeV   9.254E+00  1.039E-02    8.47 um     2798 A      2988 A   
  20.00 MeV   9.046E+00  9.485E-03    9.30 um     3044 A      3043 A   
  22.50 MeV   8.798E+00  8.569E-03   10.36 um     3407 A      3112 A   
  25.00 MeV   8.563E+00  7.822E-03   11.45 um     3752 A      3181 A   
  27.50 MeV   8.341E+00  7.202E-03   12.57 um     4084 A      3250 A   
  30.00 MeV   8.130E+00  6.678E-03   13.72 um     4407 A      3321 A   
  32.50 MeV   7.929E+00  6.229E-03   14.90 um     4723 A      3392 A   
  35.00 MeV   7.736E+00  5.839E-03   16.10 um     5034 A      3465 A   
  37.50 MeV   7.552E+00  5.498E-03   17.34 um     5341 A      3540 A   
  40.00 MeV   7.394E+00  5.197E-03   18.61 um     5644 A      3615 A   
  45.00 MeV   7.013E+00  4.688E-03   21.24 um     6778 A      3773 A   
  50.00 MeV   6.685E+00  4.274E-03   24.00 um     7843 A      3938 A   
  55.00 MeV   6.395E+00  3.931E-03   26.90 um     8866 A      4111 A   
  60.00 MeV   6.128E+00  3.641E-03   29.92 um     9862 A      4293 A   
  65.00 MeV   5.880E+00  3.393E-03   33.07 um     1.08 um     4484 A   
  70.00 MeV   5.651E+00  3.179E-03   36.36 um     1.18 um     4683 A   
  80.00 MeV   5.240E+00  2.825E-03   43.32 um     1.54 um     5109 A   
  90.00 MeV   4.884E+00  2.545E-03   50.80 um     1.87 um     5570 A   
 100.00 MeV   4.572E+00  2.318E-03   58.82 um     2.19 um     6068 A   
 110.00 MeV   4.298E+00  2.130E-03   67.36 um     2.51 um     6602 A   
 120.00 MeV   4.055E+00  1.971E-03   76.43 um     2.82 um     7171 A   
 130.00 MeV   3.838E+00  1.836E-03   86.03 um     3.13 um     7776 A   
 140.00 MeV   3.643E+00  1.718E-03   96.16 um     3.45 um     8415 A   
 150.00 MeV   3.468E+00  1.616E-03  106.82 um     3.77 um     9089 A   
 160.00 MeV   3.308E+00  1.525E-03  118.00 um     4.09 um     9797 A   
 170.00 MeV   3.163E+00  1.445E-03  129.70 um     4.42 um     1.05 um  
 180.00 MeV   3.030E+00  1.373E-03  141.94 um     4.75 um     1.13 um  
 200.00 MeV   2.795E+00  1.249E-03  167.97 um     6.02 um     1.30 um  
 225.00 MeV   2.547E+00  1.124E-03  203.46 um     7.85 um     1.52 um  
 250.00 MeV   2.339E+00  1.023E-03  242.26 um     9.59 um     1.77 um  
 275.00 MeV   2.162E+00  9.388E-04  284.37 um    11.30 um     2.03 um  
 300.00 MeV   2.010E+00  8.681E-04  329.80 um    13.01 um     2.32 um  
 325.00 MeV   1.878E+00  8.078E-04  378.55 um    14.74 um     2.63 um  
 350.00 MeV   1.763E+00  7.556E-04  430.58 um    16.49 um     2.96 um  
 375.00 MeV   1.663E+00  7.100E-04  485.87 um    18.26 um     3.30 um  
 400.00 MeV   1.576E+00  6.698E-04  544.35 um    20.06 um     3.67 um  
 450.00 MeV   1.434E+00  6.022E-04  670.34 um    26.87 um     4.46 um  
 500.00 MeV   1.328E+00  5.475E-04  807.59 um    33.18 um     5.32 um  
 550.00 MeV   1.252E+00  5.022E-04  954.44 um    39.18 um     6.24 um  
 600.00 MeV   1.180E+00  4.641E-04    1.11 mm    44.99 um     7.22 um  
 650.00 MeV   1.106E+00  4.316E-04    1.28 mm    50.77 um     8.24 um  
 700.00 MeV   1.042E+00  4.035E-04    1.45 mm    56.61 um     9.33 um  
 800.00 MeV   9.356E-01  3.574E-04    1.84 mm    78.51 um    11.68 um  
 900.00 MeV   8.514E-01  3.211E-04    2.26 mm    98.92 um    14.25 um  
   1.00 GeV   7.829E-01  2.917E-04    2.72 mm   118.80 um    17.05 um  
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  2.6399E+01                 eV / Angstrom 
  2.6399E+02                keV / micron   
  2.6399E+02                MeV / mm       
  1.0000E+00                keV / (ug/cm2) 
  1.0000E+00                MeV / (mg/cm2) 
  1.0000E+03                keV / (mg/cm2) 
  2.1536E+01                 eV / (1E15 atoms/cm2)
  2.1905E-01                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
