 ==================================================================
              SRIM version ---> SRIM-2012.03
              Calc. date   ---> March 07, 2013 
 ==================================================================

 Disk File Name = SRIM Outputs\4He_CAI.txt

 Ion = Helium [2] , Mass = 4.003 amu

 Target Density =  1.7327E+00 g/cm3 = 4.7259E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Al     13    013.08    015.98   
     Mg     12    005.61    006.18   
     Si     14    010.84    013.79   
     Ca     20    011.59    021.04   
     Fe     26    000.19    000.48   
      O      8    058.69    042.53   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
   5.00 MeV   6.622E-01  4.767E-04   30.26 um     1.17 um     9463 A   
   5.50 MeV   6.228E-01  4.388E-04   34.74 um     1.35 um     1.04 um  
   6.00 MeV   5.884E-01  4.067E-04   39.50 um     1.52 um     1.15 um  
   6.50 MeV   5.580E-01  3.793E-04   44.53 um     1.70 um     1.26 um  
   7.00 MeV   5.311E-01  3.555E-04   49.82 um     1.87 um     1.37 um  
   8.00 MeV   4.852E-01  3.163E-04   61.18 um     2.50 um     1.62 um  
   9.00 MeV   4.495E-01  2.852E-04   73.52 um     3.08 um     1.88 um  
  10.00 MeV   4.156E-01  2.600E-04   86.85 um     3.64 um     2.17 um  
  11.00 MeV   3.879E-01  2.391E-04  101.21 um     4.20 um     2.47 um  
  12.00 MeV   3.640E-01  2.214E-04  116.55 um     4.76 um     2.80 um  
  13.00 MeV   3.432E-01  2.063E-04  132.85 um     5.33 um     3.14 um  
  14.00 MeV   3.250E-01  1.932E-04  150.11 um     5.90 um     3.50 um  
  15.00 MeV   3.088E-01  1.818E-04  168.31 um     6.48 um     3.89 um  
  16.00 MeV   2.943E-01  1.717E-04  187.43 um     7.07 um     4.28 um  
  17.00 MeV   2.812E-01  1.627E-04  207.47 um     7.66 um     4.70 um  
  18.00 MeV   2.694E-01  1.546E-04  228.41 um     8.27 um     5.13 um  
  20.00 MeV   2.488E-01  1.408E-04  272.94 um    10.48 um     6.05 um  
  22.50 MeV   2.275E-01  1.268E-04  333.53 um    13.65 um     7.30 um  
  25.00 MeV   2.099E-01  1.154E-04  399.48 um    16.65 um     8.64 um  
  27.50 MeV   1.951E-01  1.060E-04  470.71 um    19.59 um    10.08 um  
  30.00 MeV   1.824E-01  9.809E-05  547.12 um    22.51 um    11.62 um  
  32.50 MeV   1.714E-01  9.131E-05  628.64 um    25.43 um    13.25 um  
  35.00 MeV   1.618E-01  8.545E-05  715.18 um    28.38 um    14.98 um  
  37.50 MeV   1.533E-01  8.033E-05  806.69 um    31.36 um    16.80 um  
  40.00 MeV   1.458E-01  7.581E-05  903.10 um    34.37 um    18.70 um  
  45.00 MeV   1.329E-01  6.820E-05    1.11 mm    45.48 um    22.79 um  
  50.00 MeV   1.223E-01  6.203E-05    1.34 mm    55.95 um    27.22 um  
  55.00 MeV   1.134E-01  5.693E-05    1.58 mm    66.15 um    31.98 um  
  60.00 MeV   1.059E-01  5.264E-05    1.84 mm    76.29 um    37.08 um  
  65.00 MeV   9.935E-02  4.897E-05    2.13 mm    86.45 um    42.51 um  
  70.00 MeV   9.367E-02  4.581E-05    2.42 mm    96.68 um    48.25 um  
  80.00 MeV   8.422E-02  4.060E-05    3.07 mm   134.18 um    60.68 um  
  90.00 MeV   7.667E-02  3.649E-05    3.79 mm   169.12 um    74.32 um  
 100.00 MeV   7.050E-02  3.317E-05    4.58 mm   203.22 um    89.14 um  
 110.00 MeV   6.534E-02  3.043E-05    5.43 mm   237.13 um   105.11 um  
 120.00 MeV   6.097E-02  2.812E-05    6.34 mm   271.18 um   122.20 um  
 130.00 MeV   5.721E-02  2.614E-05    7.32 mm   305.54 um   140.38 um  
 140.00 MeV   5.394E-02  2.444E-05    8.35 mm   340.30 um   159.64 um  
