 ==================================================================
              SRIM version ---> SRIM-2012.03
              Calc. date   ---> March 05, 2013 
 ==================================================================

 Disk File Name = SRIM Outputs\14C_70Zn.txt

 Ion = Carbon [6] , Mass = 14.003 amu

 Target Density =  7.1400E+00 g/cm3 = 6.1490E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Zn     30    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
   7.00 MeV   2.955E+00  5.948E-03    4.47 um     3347 A      4398 A   
   8.00 MeV   2.984E+00  5.329E-03    4.94 um     3456 A      4535 A   
   9.00 MeV   2.993E+00  4.834E-03    5.41 um     3557 A      4662 A   
  10.00 MeV   2.987E+00  4.428E-03    5.87 um     3654 A      4783 A   
  11.00 MeV   2.971E+00  4.090E-03    6.34 um     3748 A      4898 A   
  12.00 MeV   2.947E+00  3.803E-03    6.81 um     3840 A      5009 A   
  13.00 MeV   2.917E+00  3.556E-03    7.29 um     3930 A      5118 A   
  14.00 MeV   2.882E+00  3.341E-03    7.77 um     4019 A      5224 A   
  15.00 MeV   2.845E+00  3.152E-03    8.25 um     4107 A      5329 A   
  16.00 MeV   2.805E+00  2.985E-03    8.75 um     4196 A      5433 A   
  17.00 MeV   2.764E+00  2.836E-03    9.25 um     4284 A      5536 A   
  18.00 MeV   2.723E+00  2.702E-03    9.76 um     4373 A      5638 A   
  20.00 MeV   2.638E+00  2.471E-03   10.80 um     4669 A      5844 A   
  22.50 MeV   2.533E+00  2.235E-03   12.15 um     5110 A      6103 A   
  25.00 MeV   2.432E+00  2.043E-03   13.56 um     5547 A      6367 A   
  27.50 MeV   2.335E+00  1.882E-03   15.02 um     5985 A      6637 A   
  30.00 MeV   2.264E+00  1.747E-03   16.54 um     6421 A      6914 A   
  32.50 MeV   2.190E+00  1.631E-03   18.11 um     6856 A      7198 A   
  35.00 MeV   2.117E+00  1.530E-03   19.74 um     7292 A      7489 A   
