 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> July 11, 2019 
 ==================================================================

 Disk File Name = SRIM Outputs\19Ne_LiF.txt

 Ion = Neon [10] , Mass = 19.002 amu

 Target Density =  2.6400E+00 g/cm3 = 1.2258E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Li      3    050.00    026.76   
      F      9    050.00    073.24   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   7.00 MeV   1.055E+01  2.805E-02    4.20 um     2146 A      2798 A   
   8.00 MeV   1.079E+01  2.509E-02    4.56 um     2215 A      2840 A   
   9.00 MeV   1.095E+01  2.272E-02    4.90 um     2279 A      2878 A   
  10.00 MeV   1.105E+01  2.079E-02    5.25 um     2338 A      2913 A   
  11.00 MeV   1.112E+01  1.919E-02    5.59 um     2396 A      2945 A   
  12.00 MeV   1.115E+01  1.782E-02    5.93 um     2451 A      2975 A   
  13.00 MeV   1.115E+01  1.665E-02    6.26 um     2504 A      3004 A   
  14.00 MeV   1.113E+01  1.563E-02    6.60 um     2556 A      3032 A   
  15.00 MeV   1.109E+01  1.474E-02    6.94 um     2608 A      3058 A   
  16.00 MeV   1.104E+01  1.395E-02    7.29 um     2658 A      3084 A   
  17.00 MeV   1.098E+01  1.324E-02    7.63 um     2708 A      3109 A   
  18.00 MeV   1.091E+01  1.261E-02    7.98 um     2758 A      3134 A   
  20.00 MeV   1.075E+01  1.152E-02    8.67 um     2940 A      3182 A   
  22.50 MeV   1.052E+01  1.041E-02    9.56 um     3210 A      3240 A   
  25.00 MeV   1.029E+01  9.506E-03   10.47 um     3469 A      3297 A   
  27.50 MeV   1.005E+01  8.754E-03   11.40 um     3720 A      3354 A   
  30.00 MeV   9.807E+00  8.119E-03   12.36 um     3967 A      3411 A   
  32.50 MeV   9.569E+00  7.574E-03   13.33 um     4211 A      3468 A   
  35.00 MeV   9.335E+00  7.101E-03   14.33 um     4452 A      3526 A   
  37.50 MeV   9.107E+00  6.688E-03   15.36 um     4693 A      3585 A   
  40.00 MeV   8.909E+00  6.322E-03   16.41 um     4932 A      3644 A   
  45.00 MeV   8.432E+00  5.704E-03   18.59 um     5836 A      3767 A   
  50.00 MeV   8.019E+00  5.202E-03   20.90 um     6700 A      3896 A   
  55.00 MeV   7.655E+00  4.785E-03   23.31 um     7537 A      4031 A   
  60.00 MeV   7.322E+00  4.433E-03   25.84 um     8359 A      4174 A   
  65.00 MeV   7.017E+00  4.132E-03   28.48 um     9172 A      4323 A   
  70.00 MeV   6.736E+00  3.871E-03   31.23 um     9980 A      4480 A   
  80.00 MeV   6.241E+00  3.441E-03   37.08 um     1.30 um     4817 A   
  90.00 MeV   5.819E+00  3.101E-03   43.36 um     1.58 um     5185 A   
 100.00 MeV   5.456E+00  2.824E-03   50.08 um     1.84 um     5585 A   
 110.00 MeV   5.140E+00  2.596E-03   57.23 um     2.11 um     6015 A   
 120.00 MeV   4.863E+00  2.403E-03   64.81 um     2.37 um     6475 A   
 130.00 MeV   4.617E+00  2.238E-03   72.80 um     2.62 um     6965 A   
 140.00 MeV   4.398E+00  2.095E-03   81.20 um     2.88 um     7483 A   
 150.00 MeV   4.201E+00  1.970E-03   90.01 um     3.15 um     8029 A   
 160.00 MeV   4.022E+00  1.860E-03   99.23 um     3.41 um     8602 A   
 170.00 MeV   3.858E+00  1.762E-03  108.84 um     3.67 um     9201 A   
 180.00 MeV   3.707E+00  1.674E-03  118.85 um     3.94 um     9827 A   
 200.00 MeV   3.438E+00  1.524E-03  140.07 um     4.96 um     1.12 um  
 225.00 MeV   3.150E+00  1.371E-03  168.85 um     6.43 um     1.30 um  
 250.00 MeV   2.902E+00  1.248E-03  200.16 um     7.81 um     1.49 um  
 275.00 MeV   2.687E+00  1.145E-03  234.07 um     9.18 um     1.70 um  
 300.00 MeV   2.497E+00  1.059E-03  270.64 um    10.54 um     1.93 um  
 325.00 MeV   2.329E+00  9.858E-04  309.90 um    11.93 um     2.18 um  
 350.00 MeV   2.181E+00  9.222E-04  351.91 um    13.34 um     2.44 um  
 375.00 MeV   2.051E+00  8.666E-04  396.68 um    14.78 um     2.72 um  
 400.00 MeV   1.936E+00  8.176E-04  444.20 um    16.25 um     3.01 um  
 450.00 MeV   1.751E+00  7.352E-04  547.07 um    21.84 um     3.65 um  
 500.00 MeV   1.617E+00  6.684E-04  659.62 um    27.05 um     4.35 um  
 550.00 MeV   1.531E+00  6.132E-04  779.98 um    31.99 um     5.10 um  
 600.00 MeV   1.448E+00  5.668E-04  907.18 um    36.73 um     5.89 um  
 650.00 MeV   1.357E+00  5.271E-04    1.04 mm    41.43 um     6.73 um  
 700.00 MeV   1.279E+00  4.929E-04    1.19 mm    46.18 um     7.61 um  
 800.00 MeV   1.149E+00  4.366E-04    1.50 mm    64.00 um     9.51 um  
 900.00 MeV   1.046E+00  3.923E-04    1.84 mm    80.60 um    11.60 um  
   1.00 GeV   9.617E-01  3.565E-04    2.22 mm    96.77 um    13.87 um  
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  2.6399E+01                 eV / Angstrom 
  2.6399E+02                keV / micron   
  2.6399E+02                MeV / mm       
  1.0000E+00                keV / (ug/cm2) 
  1.0000E+00                MeV / (mg/cm2) 
  1.0000E+03                keV / (mg/cm2) 
  2.1536E+01                 eV / (1E15 atoms/cm2)
  2.0115E-01                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
