 ==================================================================
              SRIM version ---> SRIM-2012.03
              Calc. date   ---> March 12, 2013 
 ==================================================================

 Disk File Name = SRIM Outputs\1H_CAI_Gou.txt

 Ion = Hydrogen [1] , Mass = 1.008 amu

 Target Density =  2.4115E+00 g/cm3 = 5.3576E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Mg     12    017.75    015.92   
     Al     13    029.23    029.10   
     Si     14    028.44    029.47   
     Ti     22    008.69    015.36   
     Fe     26    000.53    001.09   
      O      8    015.35    009.06   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
   4.50 MeV   6.237E-02  3.464E-05  176.81 um     7.68 um     8.49 um  
   5.00 MeV   5.771E-02  3.157E-05  211.21 um     9.33 um    10.03 um  
   5.50 MeV   5.377E-02  2.903E-05  248.26 um    10.94 um    11.68 um  
   6.00 MeV   5.039E-02  2.689E-05  287.92 um    12.55 um    13.43 um  
   6.50 MeV   4.745E-02  2.505E-05  330.13 um    14.18 um    15.28 um  
   7.00 MeV   4.488E-02  2.346E-05  374.86 um    15.82 um    17.23 um  
   8.00 MeV   4.055E-02  2.085E-05  471.66 um    21.45 um    21.43 um  
   9.00 MeV   3.706E-02  1.878E-05  578.19 um    26.77 um    26.01 um  
  10.00 MeV   3.418E-02  1.710E-05  694.22 um    32.00 um    30.96 um  
  11.00 MeV   3.176E-02  1.571E-05  819.56 um    37.24 um    36.27 um  
  12.00 MeV   2.969E-02  1.454E-05  954.06 um    42.52 um    41.94 um  
  13.00 MeV   2.790E-02  1.353E-05    1.10 mm    47.87 um    47.96 um  
  14.00 MeV   2.634E-02  1.267E-05    1.25 mm    53.31 um    54.33 um  
  15.00 MeV   2.496E-02  1.191E-05    1.41 mm    58.85 um    61.03 um  
  16.00 MeV   2.373E-02  1.124E-05    1.58 mm    64.49 um    68.06 um  
  17.00 MeV   2.263E-02  1.065E-05    1.76 mm    70.23 um    75.42 um  
  18.00 MeV   2.163E-02  1.012E-05    1.95 mm    76.08 um    83.10 um  
  20.00 MeV   1.992E-02  9.203E-06    2.34 mm    96.60 um    99.41 um  
  22.50 MeV   1.815E-02  8.279E-06    2.89 mm   125.85 um   121.55 um  
  25.00 MeV   1.671E-02  7.531E-06    3.48 mm   153.81 um   145.56 um  
  27.50 MeV   1.550E-02  6.911E-06    4.12 mm   181.36 um   171.41 um  
  30.00 MeV   1.447E-02  6.390E-06    4.81 mm   208.90 um   199.03 um  
  32.50 MeV   1.359E-02  5.945E-06    5.55 mm   236.64 um   228.39 um  
  35.00 MeV   1.282E-02  5.560E-06    6.33 mm   264.69 um   259.46 um  
  37.50 MeV   1.214E-02  5.224E-06    7.16 mm   293.12 um   292.18 um  
  40.00 MeV   1.154E-02  4.928E-06    8.03 mm   321.97 um   326.54 um  
  45.00 MeV   1.053E-02  4.430E-06    9.91 mm   424.28 um   400.02 um  
  50.00 MeV   9.700E-03  4.027E-06   11.95 mm   521.11 um   479.66 um  
  55.00 MeV   9.010E-03  3.693E-06   14.16 mm   615.89 um   565.22 um  
  60.00 MeV   8.425E-03  3.413E-06   16.54 mm   710.13 um   656.49 um  
  65.00 MeV   7.924E-03  3.173E-06   19.06 mm   804.61 um   753.30 um  
  70.00 MeV   7.489E-03  2.967E-06   21.75 mm   899.73 um   855.46 um  
  80.00 MeV   6.771E-03  2.627E-06   27.55 mm     1.24 mm     1.08 mm  
