 ==================================================================
              SRIM version ---> SRIM-2012.03
              Calc. date   ---> March 05, 2013 
 ==================================================================

 Disk File Name = SRIM Outputs\16O_12C.txt

 Ion = Oxygen [8] , Mass = 15.995 amu

 Target Density =  2.2530E+00 g/cm3 = 1.1296E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      C      6    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
   8.00 MeV   1.021E+01  1.678E-02    4.37 um     1484 A      1564 A   
   9.00 MeV   1.006E+01  1.518E-02    4.81 um     1616 A      1604 A   
  10.00 MeV   9.888E+00  1.387E-02    5.25 um     1742 A      1643 A   
  11.00 MeV   9.716E+00  1.279E-02    5.71 um     1863 A      1682 A   
  12.00 MeV   9.542E+00  1.187E-02    6.17 um     1981 A      1720 A   
  13.00 MeV   9.371E+00  1.108E-02    6.63 um     2096 A      1757 A   
  14.00 MeV   9.203E+00  1.040E-02    7.11 um     2209 A      1794 A   
  15.00 MeV   9.039E+00  9.799E-03    7.60 um     2320 A      1831 A   
  16.00 MeV   8.880E+00  9.269E-03    8.09 um     2429 A      1868 A   
  17.00 MeV   8.727E+00  8.796E-03    8.60 um     2538 A      1906 A   
  18.00 MeV   8.578E+00  8.372E-03    9.11 um     2645 A      1943 A   
  20.00 MeV   8.294E+00  7.642E-03   10.16 um     3046 A      2019 A   
  22.50 MeV   7.965E+00  6.899E-03   11.52 um     3618 A      2116 A   
  25.00 MeV   7.661E+00  6.294E-03   12.94 um     4150 A      2214 A   
  27.50 MeV   7.378E+00  5.792E-03   14.42 um     4656 A      2316 A   
  30.00 MeV   7.116E+00  5.369E-03   15.95 um     5146 A      2421 A   
  32.50 MeV   6.884E+00  5.005E-03   17.53 um     5623 A      2529 A   
  35.00 MeV   6.694E+00  4.691E-03   19.17 um     6091 A      2639 A   
  37.50 MeV   6.476E+00  4.415E-03   20.85 um     6551 A      2752 A   
  40.00 MeV   6.270E+00  4.172E-03   22.59 um     7009 A      2869 A   
  45.00 MeV   5.917E+00  3.761E-03   26.23 um     8718 A      3112 A   
  50.00 MeV   5.600E+00  3.428E-03   30.09 um     1.03 um     3368 A   
  55.00 MeV   5.314E+00  3.151E-03   34.15 um     1.18 um     3637 A   
  60.00 MeV   5.054E+00  2.918E-03   38.43 um     1.33 um     3918 A   
