 ==================================================================
              SRIM version ---> SRIM-2012.03
              Calc. date   ---> March 17, 2014 
 ==================================================================

 Disk File Name = SRIM Outputs\60Fe_CD2.txt

 Ion = Iron [26] , Mass = 59.934 amu

 Target Density =  9.3000E-01 g/cm3 = 1.0476E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    066.67    014.37   
      C      6    033.33    085.63   
 ====================================
 Bragg Correction = 0.54%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
   7.00 MeV   1.930E+01  4.887E-01    7.00 um     3397 A      4215 A   
   8.00 MeV   2.158E+01  4.410E-01    7.51 um     3515 A      4341 A   
   9.00 MeV   2.374E+01  4.025E-01    7.98 um     3608 A      4443 A   
  10.00 MeV   2.577E+01  3.708E-01    8.40 um     3684 A      4527 A   
  11.00 MeV   2.765E+01  3.440E-01    8.80 um     3747 A      4598 A   
  12.00 MeV   2.939E+01  3.212E-01    9.17 um     3801 A      4659 A   
  13.00 MeV   3.099E+01  3.015E-01    9.52 um     3849 A      4713 A   
  14.00 MeV   3.245E+01  2.842E-01    9.86 um     3891 A      4760 A   
  15.00 MeV   3.380E+01  2.689E-01   10.18 um     3929 A      4803 A   
  16.00 MeV   3.503E+01  2.554E-01   10.49 um     3963 A      4841 A   
  17.00 MeV   3.616E+01  2.432E-01   10.79 um     3995 A      4876 A   
  18.00 MeV   3.720E+01  2.323E-01   11.08 um     4024 A      4908 A   
  20.00 MeV   3.903E+01  2.133E-01   11.64 um     4115 A      4965 A   
  22.50 MeV   4.093E+01  1.938E-01   12.31 um     4237 A      5026 A   
  25.00 MeV   4.249E+01  1.778E-01   12.95 um     4345 A      5078 A   
  27.50 MeV   4.376E+01  1.645E-01   13.57 um     4443 A      5124 A   
  30.00 MeV   4.479E+01  1.531E-01   14.17 um     4534 A      5166 A   
