============================== SRIM-2003.26 ==============================
==============================================================================
=================  TRANSMIT.txt : File of Transmitted Ions  ==================
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom. B= Backscattered Ion. T= Transmitted Ion.   =
=  Col.#2: Ion Number. Col.#3: Z of atom leaving. Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target. Y.Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.  NOTE: Use hotkey  C  for details.=
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.=  F(13.7 MeV) ==> Aluminium( 2.66 um) ======================
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T    1  9 .7955124E+07   2680892E-02  .2472E+04 -.6549E+02   .9951414  .0968494 -.0177114
T    2  9 .7839110E+07   2675109E-02  .1918E+04 -.4239E+03   .9980335  .0597468 -.0189610
T    3  9 .7934940E+07   2679340E-02  .2389E+04 -.1355E+02   .9954559  .0948478 -.0084577
T    4  9 .7997738E+07   2663294E-02  .2565E+04  .9996E+02   .9947880  .1017780 -.0061687
T    5  9 .7998163E+07   2674976E-02  .2347E+04 -.2424E+03   .9941595  .1067494 -.0158597
T    6  9 .7907984E+07   2681317E-02  .2241E+04  .2519E+03   .9985569  .0534875  .0048078
T    7  9 .8093970E+07   2662842E-02  .2013E+04 -.1506E+03   .9972105  .0743546 -.0065276
T    8  9 .7961198E+07   2677607E-02  .2556E+04  .9926E+02   .9947045  .1026005  .0060077
T    9  9 .7944182E+07   2676162E-02  .2624E+04  .4651E+01   .9960936  .0883026  .0003690
T   10  9 .7772598E+07   2685745E-02  .2190E+04  .1461E+03   .9961494  .0876678  .0008390
T   11  9 .7970889E+07   2676180E-02  .2303E+04  .1223E+03   .9966282  .0817887 -.0065435
T   12  9 .7959329E+07   2684413E-02  .1992E+04 -.4254E+03   .9971673  .0705152 -.0261716
T   13  9 .8061038E+07   2673082E-02  .2292E+04  .5009E+02   .9969589  .0777326 -.0055290
T   14  9 .7966647E+07   2666060E-02  .2051E+04  .6658E+02   .9970697  .0763833 -.0042048
T   15  9 .8056446E+07   2685185E-02  .2308E+04  .5132E+02   .9967069  .0810429  .0027081
T   16  9 .7929100E+07   2681109E-02  .2434E+04 -.2924E+03   .9952042  .0898876 -.0385859
T   17  9 .8022689E+07   2671027E-02  .2229E+04 -.3620E+03   .9962220  .0862963 -.0097343
T   18  9 .8000990E+07   2680831E-02  .2085E+04 -.1055E+02   .9970836  .0749325  .0144679
T   19  9 .7935179E+07   2671409E-02  .2999E+04 -.3122E+03   .9918656  .1262786 -.0160114
T   20  9 .8132037E+07   2681654E-02  .2631E+04  .2972E+03   .9953909  .0948505  .0141571
T   21  9 .7991459E+07   2672672E-02  .2156E+04  .1831E+03   .9975153  .0667263  .0226001
T   22  9 .7927732E+07   2661817E-02  .2497E+04  .1577E+03   .9958532  .0904105  .0101160
T   23  9 .8024869E+07   2671034E-02  .2112E+04 -.3466E+03   .9967951  .0777900 -.0186619
T   24  9 .7982962E+07   2678059E-02  .2946E+04  .9345E+02   .9923045  .1238197  .0006221
T   25  9 .8137693E+07   2660047E-02  .2315E+04 -.1448E+03   .9951124  .0967097 -.0199637
T   26  9 .8010602E+07   2687637E-02  .2298E+04 -.8045E+02   .9966737  .0805554 -.0123402
T   27  9 .8083481E+07   2661289E-02  .2303E+04  .2055E+03   .9958447  .0907570  .0075115
T   28  9 .7910850E+07   2679200E-02  .2406E+04 -.2176E+03   .9965024  .0834941 -.0034357
T   29  9 .7982210E+07   2663152E-02  .2924E+04 -.5759E+03   .9936219  .1079929 -.0324497
T   30  9 .7948621E+07   2678097E-02  .2196E+04  .1032E+03   .9962103  .0850445  .0182336
T   31  9 .7942947E+07   2684120E-02  .2034E+04 -.8963E+03   .9964248  .0656643 -.0531578
T   32  9 .7972067E+07   2660865E-02  .2148E+04  .2868E+03   .9988273  .0483791  .0018849
T   33  9 .8080694E+07   2666894E-02  .2370E+04  .1068E+03   .9950289  .0978240  .0186515
T   34  9 .7920274E+07   2679403E-02  .2074E+04 -.3025E+03   .9973053  .0705406 -.0201516
T   35  9 .8049055E+07   2669221E-02  .1583E+04  .3192E+03   .9984881  .0535759  .0122910
T   36  9 .8048437E+07   2683741E-02  .2466E+04  .2632E+03   .9979575  .0595580  .0231008
T   37  9 .7965441E+07   2665205E-02  .2365E+04 -.4138E+03   .9959409  .0880810 -.0185326
T   38  9 .7898176E+07   2660365E-02  .2588E+04 -.2872E+03   .9947743  .1013876 -.0120270
T   39  9 .8026627E+07   2678319E-02  .2584E+04  .4164E+03   .9942561  .1020946  .0321162
T   40  9 .7905171E+07   2662795E-02  .2481E+04 -.2792E+03   .9940358  .1089572 -.0046037
T   41  9 .8041590E+07   2686775E-02  .1993E+04 -.7393E+02   .9970027  .0752535 -.0179567
T   42  9 .7914402E+07   2670228E-02  .2386E+04  .8982E+02   .9952945  .0968959  .0000704
T   43  9 .8005050E+07   2680308E-02  .2303E+04 -.1529E+03   .9961561  .0871886 -.0084407
T   44  9 .7997749E+07   2678399E-02  .2702E+04 -.1322E+02   .9926397  .1210146  .0046807
T   45  9 .7876923E+07   2681538E-02  .2328E+04 -.3643E+03   .9956128  .0901738 -.0249756
T   46  9 .8014295E+07   2666855E-02  .2050E+04  .1913E+03   .9976657  .0682847 -.0006018
T   47  9 .8031504E+07   2662118E-02  .2483E+04  .1196E+03   .9948530  .1009348  .0089251
T   48  9 .7999637E+07   2679977E-02  .2621E+04  .5605E+02   .9962964  .0855473 -.0086644
T   49  9 .8013225E+07   2668179E-02  .2416E+04 -.1200E+03   .9962365  .0862271 -.0088146
T   50  9 .8049222E+07   2666124E-02  .2359E+04  .1552E+03   .9967128  .0806366  .0078315
T   51  9 .8085557E+07   2663109E-02  .1729E+04  .1822E+03   .9992215  .0341344  .0197776
T   52  9 .7976545E+07   2681246E-02  .2331E+04  .6389E+02   .9948898  .0996526 -.0162355
T   53  9 .7913486E+07   2668427E-02  .2271E+04 -.3889E+02   .9956239  .0924080 -.0139220
T   54  9 .7936621E+07   2672600E-02  .2098E+04  .4905E+02   .9977652  .0668164  .0003827
T   55  9 .7988543E+07   2671208E-02  .2333E+04  .3028E+02   .9965727  .0824186 -.0070719
T   56  9 .7995474E+07   2684220E-02  .2484E+04 -.2538E+02   .9937709  .1114396 -.0008247
T   57  9 .8036428E+07   2662608E-02  .2223E+04  .1871E+03   .9964272  .0833962  .0133363
T   58  9 .7962271E+07   2686154E-02  .2564E+04 -.9621E+02   .9945578  .1031132 -.0149118
T   59  9 .8022145E+07   2667932E-02  .2242E+04 -.2456E+03   .9975542  .0697652 -.0042927
T   60  9 .7955665E+07   2678777E-02  .2433E+04 -.1061E+03   .9974497  .0711092 -.0061310
T   61  9 .8037605E+07   2668315E-02  .2298E+04 -.9149E+03   .9944699  .0998261 -.0326255
T   62  9 .8037491E+07   2686034E-02  .2319E+04  .1445E+03   .9963039  .0858239  .0035806
T   63  9 .8045868E+07   2685171E-02  .2685E+04 -.1675E+03   .9968586  .0771775 -.0177919
T   64  9 .8059038E+07   2662211E-02  .2292E+04 -.9165E+02   .9960918  .0874519 -.0123820
T   65  9 .7945562E+07   2671993E-02  .2682E+04 -.1673E+03   .9932974  .1150659 -.0109567
T   66  9 .8014876E+07   2682935E-02  .2086E+04 -.8689E+01   .9978713  .0652133 -.0004235
T   67  9 .7975827E+07   2687501E-02  .2305E+04  .1747E+03   .9962162  .0866631  .0065448
T   68  9 .7927474E+07   2673801E-02  .2440E+04  .1962E+03   .9956033  .0922829  .0160588
T   69  9 .7982503E+07   2672380E-02  .2609E+04 -.3083E+03   .9947513  .1010250 -.0162399
T   70  9 .8038395E+07   2667728E-02  .2122E+04 -.2401E+03   .9956680  .0854862 -.0365701
T   71  9 .7912763E+07   2683208E-02  .2420E+04  .5319E+03   .9945419  .0971505  .0380554
T   72  9 .8021854E+07   2673536E-02  .1958E+04 -.6583E+02   .9976284  .0686047 -.0055630
T   73  9 .7973678E+07   2681762E-02  .2268E+04 -.3101E+03   .9961141  .0832537 -.0287307
T   74  9 .8044156E+07   2670144E-02  .2433E+04 -.6903E+02   .9967881  .0800398  .0026639
T   75  9 .7959563E+07   2671599E-02  .2302E+04  .7199E+02   .9957777  .0909270  .0126129
T   76  9 .8106924E+07   2666066E-02  .2369E+04  .3571E+03   .9951057  .0959738  .0235317
T   77  9 .7965661E+07   2677163E-02  .2623E+04  .1988E+03   .9943188  .1039056  .0231015
T   78  9 .7969934E+07   2664495E-02  .2501E+04  .3316E+03   .9957075  .0913780  .0147158
T   79  9 .7957572E+07   2671324E-02  .2255E+04  .8109E+02   .9962436  .0865800  .0016098
T   80  9 .8055602E+07   2685919E-02  .2472E+04  .1215E+03   .9952790  .0969150  .0052062
T   81  9 .8009790E+07   2683014E-02  .2235E+04 -.7920E+02   .9951528  .0967602 -.0175616
T   82  9 .8074068E+07   2680444E-02  .2375E+04 -.6877E+02   .9948608  .1012457 -.0011150
T   83  9 .8114503E+07   2678347E-02  .2420E+04  .2441E+03   .9956180  .0932937 -.0064054
