============================== SRIM-2003.26 ==============================
==============================================================================
=================  TRANSMIT.txt : File of Transmitted Ions  ==================
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom. B= Backscattered Ion. T= Transmitted Ion.   =
=  Col.#2: Ion Number. Col.#3: Z of atom leaving. Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target. Y.Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.  NOTE: Use hotkey  C  for details.=
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.=  F(13.7 MeV) ==> Aluminium( 2.66 um) ======================
T   84  9 .7923005E+07   2680244E-02  .2343E+04  .5662E+02   .9956486  .0916397 -.0169145
T   85  9 .7908812E+07   2663123E-02  .2275E+04  .7623E+02   .9976884  .0673906  .0087373
T   86  9 .7874962E+07   2683681E-02  .3182E+04 -.6680E+03   .9929432  .1137402 -.0335706
T   87  9 .8105583E+07   2683286E-02  .2399E+04  .2152E+03   .9942404  .1062754  .0138393
T   88  9 .7894518E+07   2678774E-02  .2014E+04 -.2982E+03   .9982232  .0591217 -.0074168
T   89  9 .7901168E+07   2670192E-02  .2044E+04  .1785E+03   .9972801  .0700366  .0229627
T   90  9 .7976978E+07   2661172E-02  .2301E+04  .3480E+03   .9964135  .0835008  .0136991
T   91  9 .8109233E+07   2678626E-02  .2280E+04  .3502E+02   .9963426  .0854447 -.0008223
T   92  9 .8073171E+07   2667802E-02  .2193E+04 -.1069E+03   .9961655  .0873849 -.0042645
T   93  9 .8003112E+07   2680661E-02  .2172E+04 -.5865E+01   .9990437  .0434104 -.0052136
T   94  9 .8246924E+07   2675300E-02  .2283E+04  .1377E+03   .9973659  .0722033 -.0069306
T   95  9 .7929097E+07   2678130E-02  .2423E+04 -.1868E+03   .9935505  .1098041 -.0282907
T   96  9 .8027883E+07   2661432E-02  .2145E+04 -.5000E+03   .9955422  .0888602 -.0316156
T   97  9 .7999880E+07   2680347E-02  .2219E+04  .7905E+02   .9966092  .0822458  .0024071
T   98  9 .8068516E+07   2678146E-02  .2230E+04 -.1046E+03   .9985632  .0535860 -.0000459
T   99  9 .8066591E+07   2663411E-02  .2341E+04  .2807E+03   .9963146  .0839844  .0174331
T  100  9 .8005581E+07   2681407E-02  .1908E+04 -.7035E+02   .9987931  .0491144  .0001632
T  101  9 .8076988E+07   2679041E-02  .2150E+04 -.9672E+02   .9973098  .0722311 -.0124807
T  102  9 .8014322E+07   2660532E-02  .2214E+04 -.1779E+03   .9961735  .0845185 -.0222482
T  103  9 .8012637E+07   2674259E-02  .2210E+04  .1196E+03   .9966371  .0819415  .0002227
T  104  9 .8071517E+07   2684220E-02  .2289E+04 -.2440E+03   .9944310  .1035732 -.0194803
T  105  9 .7999151E+07   2664065E-02  .2013E+04 -.2742E+03   .9969418  .0771698 -.0123242
T  106  9 .7999443E+07   2672668E-02  .2557E+04 -.1453E+03   .9944986  .1040169 -.0123699
T  107  9 .7979858E+07   2667480E-02  .2709E+04  .9463E+02   .9931885  .1165110  .0013106
T  108  9 .7989462E+07   2682326E-02  .2204E+04 -.2699E+03   .9975283  .0671868 -.0205741
T  109  9 .8047555E+07   2673301E-02  .1794E+04  .2045E+03   .9976777  .0670508  .0119772
T  110  9 .7950269E+07   2666601E-02  .2240E+04  .1156E+03   .9955768  .0926184  .0157692
T  111  9 .7962673E+07   2679465E-02  .1982E+04 -.3102E+03   .9981217  .0497383 -.0357644
T  112  9 .7947986E+07   2679115E-02  .2065E+04  .2658E+02   .9961542  .0869035 -.0111622
T  113  9 .8019778E+07   2686617E-02  .2349E+04  .1451E+03   .9955299  .0940298  .0088653
T  114  9 .8061382E+07   2664649E-02  .1314E+04  .6026E+03   .9989960  .0355205  .0272988
T  115  9 .8017334E+07   2664549E-02  .2176E+04  .4147E+03   .9965187  .0746351  .0371509
T  116  9 .8110657E+07   2686176E-02  .2123E+04  .1710E+03   .9972144  .0738981  .0101235
T  117  9 .8112654E+07   2664063E-02  .2726E+04 -.2528E+03   .9955305  .0942240 -.0063929
T  118  9 .8156149E+07   2660070E-02  .2652E+04  .3092E+03   .9941775  .1057007  .0209389
T  119  9 .7946015E+07   2670655E-02  .2503E+04  .1934E+03   .9952334  .0974525  .0036621
T  120  9 .8051445E+07   2675784E-02  .2338E+04 -.3578E+02   .9961809  .0872517 -.0032676
T  121  9 .8078536E+07   2675804E-02  .2481E+04 -.4504E+02   .9948303  .1014251 -.0050535
T  122  9 .7863517E+07   2677904E-02  .2582E+04 -.4790E+03   .9943373  .0924173 -.0524639
T  123  9 .7955395E+07   2686961E-02  .2502E+04  .1351E+03   .9952150  .0931111  .0296223
T  124  9 .7782076E+07   2674375E-02  .2367E+04  .1425E+04   .9947778  .0860554  .0548778
T  125  9 .8076704E+07   2670617E-02  .2249E+04  .3087E+03   .9967460  .0786404  .0176945
T  126  9 .8062354E+07   2670801E-02  .2388E+04  .5306E+03   .9953939  .0890051  .0356237
T  127  9 .7974620E+07   2666087E-02  .1262E+04  .4223E+03   .9991159  .0021535  .0419858
T  128  9 .8032261E+07   2678463E-02  .2148E+04  .1354E+03   .9981904  .0509672  .0319112
T  129  9 .7946878E+07   2683946E-02  .1863E+04 -.2043E+03   .9979770  .0609521 -.0180748
T  130  9 .7932469E+07   2662073E-02  .5172E+04  .2875E+03   .9791638  .2030447 -.0033444
T  131  9 .8007754E+07   2682350E-02  .2685E+04 -.1511E+03   .9927481  .1201743 -.0030651
T  132  9 .7889312E+07   2679775E-02  .2459E+04 -.4643E+03   .9958000  .0899385 -.0171289
T  133  9 .8057721E+07   2679662E-02  .2281E+04  .1017E+03   .9974533  .0712818 -.0023979
T  134  9 .7948455E+07   2671604E-02  .2802E+04 -.9702E+02   .9947833  .1005660 -.0171045
T  135  9 .7968342E+07   2673490E-02  .2002E+04 -.8154E+02   .9976076  .0691237 -.0009881
T  136  9 .8129178E+07   2667817E-02  .2292E+04 -.2094E+02   .9971086  .0756699 -.0069718
T  137  9 .7968605E+07   2671980E-02  .2670E+04  .1540E+02   .9943490  .1042956 -.0198134
T  138  9 .7940851E+07   2677641E-02  .2827E+04  .3305E+03   .9924622  .1215575  .0155755
T  139  9 .7939304E+07   2675984E-02  .2136E+04  .1652E+03   .9976141  .0652320  .0226018
T  140  9 .8029649E+07   2681956E-02  .2618E+04 -.3870E+03   .9935340  .1026785 -.0484499
T  141  9 .7984761E+07   2662013E-02  .2331E+04  .1874E+03   .9965206  .0813559  .0181108
T  142  9 .7872564E+07   2673084E-02  .2178E+04  .1683E+03   .9967440  .0788401  .0169005
T  143  9 .7990863E+07   2681187E-02  .2579E+04  .3604E+03   .9948422  .1014320  .0007880
T  144  9 .8027851E+07   2668564E-02  .1899E+04 -.8789E+02   .9980848  .0594953 -.0169415
T  145  9 .8007206E+07   2663579E-02  .2806E+04  .1085E+03   .9927318  .1197764  .0117138
T  146  9 .7934272E+07   2677081E-02  .2238E+04 -.1099E+04   .9956471  .0702376 -.0612660
T  147  9 .7931432E+07   2662164E-02  .1999E+04  .7188E+02   .9974439  .0714533  .0001283
T  148  9 .7975291E+07   2682693E-02  .2651E+04 -.8586E+02   .9947038  .1011626 -.0181792
T  149  9 .8006839E+07   2660271E-02  .2643E+04 -.4441E+02   .9928322  .1192615  .0078029
T  150  9 .8029186E+07   2675818E-02  .2177E+04 -.4536E+03   .9977158  .0575931 -.0353024
T  151  9 .8024682E+07   2660470E-02  .1913E+04 -.1005E+03   .9982063  .0595375  .0062848
T  152  9 .8079036E+07   2683137E-02  .2292E+04 -.6117E+02   .9957566  .0919736  .0030967
T  153  9 .8064168E+07   2675127E-02  .2895E+04  .9520E+02   .9883441  .1521710  .0044550
T  154  9 .7980899E+07   2665953E-02  .2254E+04 -.1524E+03   .9969857  .0775433 -.0025700
T  155  9 .7951610E+07   2663256E-02  .4266E+04 -.1396E+04   .9853655  .1610159 -.0559341
T  156  9 .8095069E+07   2686649E-02  .2061E+04 -.1365E+03   .9974599  .0710900  .0044620
T  157  9 .7985319E+07   2667009E-02  .2323E+04 -.2850E+03   .9952439  .0967797 -.0111018
T  158  9 .7980141E+07   2670615E-02  .2168E+04  .5217E+03   .9957726  .0891709  .0220321
T  159  9 .8109196E+07   2663023E-02  .2323E+04  .3521E+03   .9958271  .0912568  .0007621
T  160  9 .8078597E+07   2685397E-02  .2218E+04 -.1565E+03   .9963369  .0835410 -.0182663
T  161  9 .8021342E+07   2675351E-02  .3148E+04 -.3600E+03   .9922725  .1237437 -.0091020
T  162  9 .8121556E+07   2660000E-02  .2570E+04  .3032E+02   .9937301  .1117822  .0022991
T  163  9 .8063548E+07   2674973E-02  .2381E+04 -.1643E+03   .9953764  .0929400 -.0242481
T  164  9 .8081420E+07   2681347E-02  .2224E+04  .5425E+02   .9968769  .0783371  .0099859
T  165  9 .7965333E+07   2666591E-02  .2362E+04  .3231E+03   .9951687  .0950687  .0245177
T  166  9 .7922152E+07   2676152E-02  .2065E+04 -.3533E+02   .9974425  .0699617 -.0146208
T  167  9 .8006055E+07   2682354E-02  .2023E+04  .9858E+02   .9984647  .0553876 -.0006255
T  168  9 .8136234E+07   2672377E-02  .2618E+04  .4456E+02   .9949563  .1002953  .0016592
T  169  9 .8018151E+07   2683443E-02  .1956E+04 -.5085E+03   .9977975  .0601401 -.0279860
T  170  9 .7980864E+07   2678169E-02  .1587E+04  .5105E+03   .9974996  .0624703  .0330445
T  171  9 .7974040E+07   2666209E-02  .1908E+04 -.2137E+03   .9974888  .0708248  .0000208
T  172  9 .8102327E+07   2678682E-02  .2267E+04 -.2248E+03   .9963403  .0852031 -.0068128
T  173  9 .7980778E+07   2664520E-02  .2194E+04 -.1624E+02   .9975127  .0702735 -.0054757
T  174  9 .7990088E+07   2666562E-02  .2324E+04  .2185E+03   .9959192  .0888910  .0155971
T  175  9 .8096148E+07   2682641E-02  .2212E+04 -.2776E+03   .9979032  .0629152 -.0151974
T  176  9 .8125224E+07   2664849E-02  .2499E+04 -.2476E+03   .9954253  .0934136 -.0200610
T  177  9 .7970622E+07   2676596E-02  .2466E+04  .1316E+03   .9962347  .0831741  .0244644
T  178  9 .7908371E+07   2681248E-02  .2566E+04 -.1127E+03   .9958191  .0908044  .0099442
T  179  9 .7897404E+07   2671169E-02  .2205E+04 -.2082E+03   .9965306  .0818080 -.0153042
T  180  9 .8022981E+07   2672896E-02  .2487E+04 -.1165E+03   .9954178  .0955922 -.0023597
T  181  9 .8062400E+07   2663093E-02  .2328E+04 -.9055E+02   .9971235  .0736612 -.0178547
T  182  9 .7887300E+07   2671049E-02  .2210E+04 -.6131E+02   .9971868  .0748518  .0039699
T  183  9 .7992120E+07   2666170E-02  .2175E+04  .9173E+02   .9951783  .0971377  .0135784
T  184  9 .8050404E+07   2666355E-02  .2349E+04 -.1725E+02   .9960481  .0872018 -.0168540
T  185  9 .7962411E+07   2668400E-02  .2366E+04 -.2460E+03   .9954698  .0942719 -.0123592
T  186  9 .8010200E+07   2685543E-02  .2206E+04 -.3749E+03   .9962631  .0818718 -.0275114
T  187  9 .8038661E+07   2660046E-02  .2628E+04  .7595E+02   .9945008  .1044829  .0071749
T  188  9 .7914164E+07   2682796E-02  .1771E+04  .2469E+03   .9981831  .0590462  .0120016
T  189  9 .8089465E+07   2683248E-02  .2274E+04  .4836E+03   .9960411  .0705313  .0541055
T  190  9 .8062113E+07   2669088E-02  .2350E+04  .1382E+02   .9957471  .0920965  .0024451
T  191  9 .8021600E+07   2682456E-02  .2159E+04 -.3297E+03   .9964780  .0794721 -.0267554
T  192  9 .7847632E+07   2687101E-02  .2967E+04  .3032E+03   .9936041  .1128114 -.0049405
T  193  9 .7945393E+07   2684781E-02  .2516E+04  .1604E+03   .9871220  .1278584  .0961374
T  194  9 .7862290E+07   2683479E-02  .2325E+04  .6208E+02   .9980442  .0512736  .0357592
T  195  9 .7928132E+07   2671441E-02  .2363E+04 -.1134E+03   .9956618  .0921899  .0125924
T  196  9 .8098572E+07   2668350E-02  .2465E+04  .6393E+02   .9953122  .0965713  .0052545
T  197  9 .8050145E+07   2664577E-02  .2373E+04  .2475E+03   .9950987  .0975799  .0160227
T  198  9 .7991445E+07   2676617E-02  .2166E+04 -.6399E+02   .9978952  .0635457 -.0129287
T  199  9 .8067830E+07   2665422E-02  .2241E+04  .2297E+03   .9960357  .0884368 -.0095806
T  200  9 .7834331E+07   2660260E-02  .2734E+04  .8422E+03   .9835516  .1401971  .1138907
T  201  9 .8001341E+07   2667159E-02  .2468E+04 -.3557E+02   .9948255  .1015410  .0034130
T  202  9 .8054005E+07   2683870E-02  .2519E+04 -.1374E+03   .9969107  .0770052 -.0154691
T  203  9 .8069060E+07   2663030E-02  .1754E+04  .2439E+03   .9983960  .0467133  .0319900
T  204  9 .8000445E+07   2661786E-02  .2113E+04  .6489E+02   .9977155  .0672323 -.0066014
T  205  9 .8007710E+07   2676641E-02  .2311E+04  .5916E+02   .9947869  .1019662  .0014174
T  206  9 .8056045E+07   2673107E-02  .2372E+04  .1185E+02   .9958644  .0905971  .0067991
T  207  9 .8054511E+07   2683038E-02  .2350E+04  .1914E+03   .9959980  .0856513  .0255331
T  208  9 .8009020E+07   2671366E-02  .2301E+04  .2823E+03   .9955721  .0911515  .0229712
T  209  9 .8001761E+07   2669792E-02  .2181E+04  .4848E+03   .9964802  .0709687  .0446168
T  210  9 .8066310E+07   2684962E-02  .2196E+04 -.1267E+03   .9972117  .0743157 -.0067860
T  211  9 .8024356E+07   2665301E-02  .2763E+04 -.3637E+03   .9901626  .1379432 -.0234478
T  212  9 .8074221E+07   2675779E-02  .2038E+04  .1469E+03   .9980295  .0623844  .0067347
T  213  9 .8084859E+07   2668349E-02  .2356E+04  .1850E+02   .9954205  .0950499  .0101732
T  214  9 .7895156E+07   2680039E-02  .2089E+04  .2633E+03   .9974124  .0715883  .0066088
T  215  9 .7942404E+07   2686420E-02  .2174E+04  .2004E+03   .9973482  .0724415  .0069828
T  216  9 .8104612E+07   2661487E-02  .2307E+04  .1829E+02   .9959567  .0897339 -.0042591
T  217  9 .8137863E+07   2661999E-02  .2456E+04 -.7845E+02   .9954182  .0912314  .0286242
T  218  9 .8117528E+07   2673352E-02  .2224E+04  .5005E+02   .9954920  .0947658  .0038751
T  219  9 .7989524E+07   2660619E-02  .2776E+04 -.6569E+02   .9931430  .1168117 -.0046827
T  220  9 .8006253E+07   2676080E-02  .2309E+04  .8125E+02   .9965132  .0825716  .0119713
T  221  9 .7987326E+07   2671683E-02  .2492E+04  .1158E+03   .9962764  .0860569  .0052452
T  222  9 .8091209E+07   2672089E-02  .2322E+04  .3668E+02   .9964906  .0833927 -.0072274
T  223  9 .7890833E+07   2678768E-02  .3065E+04  .4117E+03   .9930556  .1152912  .0234187
T  224  9 .8076982E+07   2684992E-02  .2528E+04 -.2298E+03   .9944070  .1037549 -.0197387
T  225  9 .7895084E+07   2675523E-02  .9069E+03 -.1757E+04   .9963800  .0130828 -.0839979
T  226  9 .8029602E+07   2668918E-02  .2383E+04 -.4264E+02   .9972331  .0741513  .0052727
T  227  9 .8062422E+07   2673950E-02  .1867E+04 -.2122E+03   .9982286  .0578863 -.0137452
T  228  9 .8128060E+07   2668025E-02  .2417E+04  .1696E+03   .9952067  .0975305 -.0071701
T  229  9 .7937161E+07   2681686E-02  .2924E+04  .1860E+03   .9943654  .1042693  .0191172
T  230  9 .7871153E+07   2680830E-02  .2394E+04 -.1488E+03   .9956486  .0928563 -.0078423
T  231  9 .7986626E+07   2671073E-02  .1959E+04 -.3345E+03   .9982819  .0555186 -.0187323
T  232  9 .8008905E+07   2682405E-02  .2269E+04  .4195E+03   .9960586  .0838957  .0287872
T  233  9 .7908967E+07   2682234E-02  .2607E+04 -.2414E+03   .9952414  .0958930 -.0172941
T  234  9 .7918634E+07   2675956E-02  .2399E+04  .3267E+03   .9948704  .0971347  .0282434
T  235  9 .8024357E+07   2678067E-02  .2395E+04 -.1889E+03   .9970821  .0710080  .0280190
T  236  9 .7890861E+07   2666373E-02  .2026E+04  .3605E+03   .9956539  .0839686  .0402815
T  237  9 .7860325E+07   2684608E-02  .3267E+04 -.2068E+04   .9846364  .1447586 -.0976529
T  238  9 .8054228E+07   2660395E-02  .2672E+04  .6620E+02   .9934270  .1142872  .0064217
T  239  9 .7993363E+07   2663323E-02  .1720E+04  .9762E+02   .9975504  .0698314 -.0041017
T  240  9 .7852747E+07   2682003E-02  .2065E+04 -.3310E+03   .9963317  .0853630 -.0060265
T  241  9 .8087072E+07   2669626E-02  .2114E+04 -.3269E+03   .9983261  .0551183 -.0175227
T  242  9 .7976229E+07   2684005E-02  .2270E+04 -.1211E+03   .9959443  .0899609  .0014135
T  243  9 .8058054E+07   2667367E-02  .2141E+04 -.2903E+03   .9973163  .0713485 -.0164200
T  244  9 .8081818E+07   2673127E-02  .2621E+04 -.8760E+02   .9939486  .1093062 -.0108782
T  245  9 .7961578E+07   2687615E-02  .2269E+04 -.1662E+03   .9969189  .0783174  .0043760
T  246  9 .8172835E+07   2682164E-02  .2546E+04 -.7757E+02   .9947147  .1026772  .0002041
T  247  9 .7807938E+07   2677905E-02  .2273E+04  .2478E+01   .9971380  .0755690  .0022577
T  248  9 .8039860E+07   2686191E-02  .2321E+04 -.2436E+03   .9982346  .0580856 -.0123991
T  249  9 .7859741E+07   2678905E-02  .1150E+04  .9388E+03   .9982970 -.0450024  .0371185
T  250  9 .7932944E+07   2671967E-02  .2213E+04 -.2574E+03   .9967607  .0777957 -.0203951
T  251  9 .7985790E+07   2687053E-02  .2327E+04 -.1360E+03   .9970557  .0765158 -.0050187
T  252  9 .7959986E+07   2664895E-02  .2167E+04  .1272E+03   .9968140  .0784341  .0144870
T  253  9 .8062120E+07   2660974E-02  .2698E+04  .6620E+02   .9935123  .1136914  .0027424
T  254  9 .7948888E+07   2670307E-02  .2335E+04 -.2548E+03   .9962919  .0832823 -.0216006
T  255  9 .7936092E+07   2678895E-02  .2352E+04  .4965E+03   .9962480  .0825272  .0260610
T  256  9 .7854982E+07   2685102E-02  .2374E+04 -.3339E+03   .9859097  .1593632 -.0508465
T  257  9 .7980421E+07   2675185E-02  .2377E+04 -.1863E+03   .9925053  .1173953 -.0339342
T  258  9 .8103542E+07   2662996E-02  .2290E+04 -.4236E+03   .9955199  .0930440 -.0168212
T  259  9 .8028845E+07   2666849E-02  .3088E+04  .5945E+03   .9886742  .1454966  .0367985
