 ==================================================================
              SRIM version ---> SRIM-2012.03
              Calc. date   ---> March 07, 2013 
 ==================================================================

 Disk File Name = SRIM Outputs\1H_CAI_rho3.txt

 Ion = Hydrogen [1] , Mass = 1.008 amu

 Target Density =  3.0000E+00 g/cm3 = 8.1826E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Al     13    013.08    015.98   
     Mg     12    005.61    006.18   
     Si     14    010.84    013.79   
     Ca     20    011.59    021.04   
     Fe     26    000.19    000.48   
      O      8    058.69    042.53   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
   5.00 MeV   6.202E-02  3.345E-05  157.07 um     6.85 um     6.84 um  
   5.50 MeV   5.771E-02  3.075E-05  184.82 um     8.05 um     7.97 um  
   6.00 MeV   5.403E-02  2.847E-05  214.56 um     9.25 um     9.18 um  
   6.50 MeV   5.083E-02  2.653E-05  246.24 um    10.45 um    10.46 um  
   7.00 MeV   4.802E-02  2.484E-05  279.85 um    11.67 um    11.80 um  
   8.00 MeV   4.333E-02  2.206E-05  352.68 um    15.90 um    14.71 um  
   9.00 MeV   3.955E-02  1.987E-05  432.92 um    19.90 um    17.89 um  
  10.00 MeV   3.643E-02  1.809E-05  520.44 um    23.82 um    21.34 um  
  11.00 MeV   3.381E-02  1.661E-05  615.09 um    27.75 um    25.04 um  
  12.00 MeV   3.158E-02  1.537E-05  716.74 um    31.70 um    29.00 um  
  13.00 MeV   2.966E-02  1.431E-05  825.30 um    35.72 um    33.20 um  
  14.00 MeV   2.797E-02  1.339E-05  940.64 um    39.80 um    37.65 um  
  15.00 MeV   2.649E-02  1.259E-05    1.06 mm    43.95 um    42.34 um  
  16.00 MeV   2.517E-02  1.188E-05    1.19 mm    48.17 um    47.27 um  
  17.00 MeV   2.399E-02  1.125E-05    1.33 mm    52.47 um    52.43 um  
  18.00 MeV   2.293E-02  1.069E-05    1.47 mm    56.86 um    57.82 um  
  20.00 MeV   2.109E-02  9.723E-06    1.77 mm    72.41 um    69.28 um  
  22.50 MeV   1.920E-02  8.745E-06    2.18 mm    94.60 um    84.85 um  
  25.00 MeV   1.766E-02  7.953E-06    2.63 mm   115.79 um   101.77 um  
  27.50 MeV   1.637E-02  7.298E-06    3.12 mm   136.66 um   119.99 um  
  30.00 MeV   1.528E-02  6.746E-06    3.65 mm   157.50 um   139.49 um  
  32.50 MeV   1.434E-02  6.276E-06    4.21 mm   178.49 um   160.23 um  
  35.00 MeV   1.352E-02  5.869E-06    4.81 mm   199.71 um   182.19 um  
  37.50 MeV   1.280E-02  5.513E-06    5.44 mm   221.21 um   205.35 um  
  40.00 MeV   1.216E-02  5.200E-06    6.10 mm   243.02 um   229.66 um  
  45.00 MeV   1.109E-02  4.674E-06    7.54 mm   321.05 um   281.72 um  
  50.00 MeV   1.021E-02  4.248E-06    9.10 mm   394.79 um   338.18 um  
  55.00 MeV   9.477E-03  3.895E-06   10.79 mm   466.91 um   398.90 um  
  60.00 MeV   8.859E-03  3.599E-06   12.60 mm   538.58 um   463.71 um  
  65.00 MeV   8.329E-03  3.346E-06   14.54 mm   610.41 um   532.49 um  
  70.00 MeV   7.869E-03  3.128E-06   16.59 mm   682.70 um   605.11 um  
  80.00 MeV   7.111E-03  2.770E-06   21.04 mm   940.18 um   761.41 um  
  90.00 MeV   6.510E-03  2.487E-06   25.92 mm     1.18 mm   931.75 um  
