============================== SRIM-2003.26 ==============================
==============================================================================
=================  TRANSMIT.txt : File of Transmitted Ions  ==================
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom. B= Backscattered Ion. T= Transmitted Ion.   =
=  Col.#2: Ion Number. Col.#3: Z of atom leaving. Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target. Y.Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.  NOTE: Use hotkey  C  for details.=
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.= He(500 keV) ==> Layer 1( 1846 A) ==========================
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T   54  2 .3943764E+06   1850377E-03 -.3266E+02  .2743E+02   .9922074 -.0831198  .0928201
T   55  2 .3659280E+06   1848108E-03  .1957E+03 -.3402E+02   .9845303  .1716125 -.0353457
T   56  2 .3897066E+06   1850321E-03  .2211E+02  .2076E+02   .9994370  .0281958  .0181834
T   57  2 .3862899E+06   1847855E-03 -.9498E+02 -.1614E+02   .9948436 -.0864980  .0529555
T   58  2 .3724383E+06   1857867E-03 -.1071E+02  .6572E+02   .9967715  .0382029  .0706196
T   59  2 .3919427E+06   1849110E-03 -.6147E+02  .7502E+01   .9966065 -.0794427  .0215464
T   60  2 .3705256E+06   1850738E-03 -.7065E+02  .1701E+02   .9708625 -.1227974  .2057834
T   61  2 .3744137E+06   1849119E-03 -.2604E+02  .2348E+02   .9940079  .0804680  .0739814
T   62  2 .3771541E+06   1850256E-03 -.8782E+02 -.7553E+02   .9955408 -.0551527 -.0765287
T   63  2 .3761486E+06   1857790E-03  .1021E+03  .3533E+03   .9766790  .0937903  .1931358
T   64  2 .3819035E+06   1852125E-03 -.2456E+03  .8574E+02   .9856243 -.1471833  .0829573
T   65  2 .3852629E+06   1852793E-03 -.7448E+02 -.3651E+02   .9994958 -.0140665 -.0284640
T   66  2 .3690283E+06   1846906E-03 -.1418E+03 -.1009E+03   .9760872 -.1477796 -.1594209
T   67  2 .3859502E+06   1848348E-03 -.1859E+02 -.7386E+01   .9952395 -.0867659  .0443842
T   68  2 .3843677E+06   1848208E-03 -.1192E+03 -.6660E+02   .9601588 -.2743025 -.0534146
T   69  2 .3832616E+06   1848897E-03  .1430E+03  .1027E+03   .9819670  .1149820  .1500667
T   70  2 .3934245E+06   1847185E-03 -.1910E+03  .6404E+02   .9813301 -.1889626  .0358379
T   71  2 .3754484E+06   1849842E-03 -.8299E+02 -.6677E+01   .9971361 -.0743770 -.0137004
T   72  2 .3806858E+06   1851839E-03  .1112E+02 -.5736E+01   .9987371 -.0333118  .0376090
T   73  2 .3862588E+06   1850724E-03  .1049E+03 -.4240E+02   .9929378  .1116446 -.0401253
T   74  2 .3953631E+06   1851992E-03 -.1926E+02 -.3214E+02   .9996964 -.0246263 -.0008425
T   75  2 .3824661E+06   1855677E-03  .1352E+03 -.6661E+02   .9823370  .1532086 -.1074297
T   76  2 .3867360E+06   1859009E-03 -.7833E+02 -.5422E+02   .9949290 -.0897873 -.0453268
T   77  2 .3809891E+06   1856151E-03  .3552E+02  .3631E+02   .9992953  .0196905  .0319553
T   78  2 .4014226E+06   1847587E-03 -.1052E+03  .7428E+02   .9974249 -.0053276  .0715200
T   79  2 .3894346E+06   1851018E-03 -.3830E+02  .1974E+03   .9580392 -.0343398  .2845727
T   80  2 .3696441E+06   1853435E-03  .8367E+02 -.2334E+02   .9971624  .0443889  .0608011
T   81  2 .3650507E+06   1847039E-03  .3284E+02 -.4188E+02   .9931582 -.0089624 -.1164320
T   82  2 .3847163E+06   1854935E-03 -.8097E+01 -.2689E+02   .9718239 -.0994423 -.2137043
T   83  2 .3908744E+06   1848385E-03  .1744E+02  .7241E+02   .9924697  .0916181  .0813021
T   84  2 .3822925E+06   1856595E-03  .6892E+02  .3838E+02   .9978948  .0639690  .0106778
T   85  2 .3741851E+06   1853853E-03  .2633E+01 -.1185E+02   .9987207 -.0502599 -.0055579
T   86  2 .3774209E+06   1851477E-03 -.7536E+02  .9351E+02   .9959874 -.0468565  .0762470
T   87  2 .3787192E+06   1853751E-03  .6803E+02  .3786E+02   .9941279  .1071583 -.0150635
T   88  2 .3933285E+06   1847052E-03  .5437E+02  .9619E+02   .9938687  .0805574  .0757327
T   89  2 .3862847E+06   1846858E-03 -.1742E+03  .2000E+03   .9989390 -.0307677  .0342665
T   90  2 .3712435E+06   1846098E-03  .8303E+02 -.5152E+02   .9801744  .1771116 -.0888238
T   91  2 .3863504E+06   1854510E-03 -.1539E+02 -.1515E+02   .9944395  .0664399  .0817062
T   92  2 .3784222E+06   1855569E-03 -.1235E+03 -.8074E+02   .9952821 -.0607686 -.0756354
T   93  2 .3806722E+06   1848761E-03  .1565E+03  .1005E+02   .9951228  .0986267  .0018369
T   94  2 .3880140E+06   1849137E-03  .3239E+02  .3399E+02   .9941703  .0923421  .0556632
T   95  2 .3846918E+06   1846503E-03  .1054E+03  .2021E+03   .9617933  .1548699  .2257632
T   96  2 .3902618E+06   1847196E-03  .5718E+02  .6850E+02   .9973303 -.0138854  .0716899
T   97  2 .3939566E+06   1858537E-03 -.6960E+02 -.2109E+02   .9973396 -.0480521 -.0548161
T   98  2 .3789712E+06   1859525E-03 -.5923E+02 -.9479E+02   .9921094 -.0741820 -.1010742
T   99  2 .3952370E+06   1846122E-03  .1173E+03  .1123E+03   .9856266  .1121647  .1263302
T  100  2 .3858511E+06   1849294E-03  .5839E+00 -.8953E+02   .9953738  .0123830 -.0952771
T  101  2 .3896338E+06   1856145E-03  .6078E+02 -.2685E+02   .9976724  .0681852  .0007149
T  102  2 .3868398E+06   1849299E-03  .5066E+02 -.5559E+02   .9975305  .0192437 -.0675465
T  103  2 .3868109E+06   1852117E-03  .8148E+02  .1466E+03   .9897772  .0487840  .1340195
T  104  2 .3767290E+06   1852129E-03  .2772E+02  .2359E+03   .9667160  .0669108  .2469475
T  105  2 .3696435E+06   1859868E-03 -.8211E+01 -.2536E+02   .9997026  .0214303 -.0116368
T  106  2 .3786802E+06   1853261E-03 -.2166E+02  .3300E+02   .9969875 -.0106901  .0768219
T  107  2 .3637863E+06   1849683E-03 -.9681E+02  .2471E+02   .9925166 -.1113326 -.0501585
T  108  2 .3883034E+06   1851987E-03 -.1983E+03 -.1071E+02   .9876400 -.1304784 -.0868484
T  109  2 .3792609E+06   1853419E-03  .2679E+03 -.1749E+03   .9765487  .2007026 -.0779178
T  110  2 .3822570E+06   1849686E-03 -.1232E+03  .6998E+02   .9765931 -.1850488  .1096486
T  111  2 .3790132E+06   1846087E-03  .5932E+02  .5583E+02   .9609114  .2606834  .0932387
T  112  2 .3017452E+06   1853003E-03 -.1281E+04 -.1835E+04   .6253623 -.5205830 -.5813048
T  113  2 .3779145E+06   1848644E-03  .6354E+01  .3617E+01   .9976651  .0657220  .0185725
T  114  2 .3728169E+06   1850154E-03  .3772E+01  .9936E+02   .9895204  .0639952  .1294369
T  115  2 .3929042E+06   1855551E-03  .5143E+02 -.1289E+02   .9996730  .0245466 -.0071724
T  116  2 .3654666E+06   1853499E-03  .7742E+02 -.5192E+02   .9955609  .0907568 -.0249355
T  117  2 .3762557E+06   1852195E-03  .1652E+03  .1380E+02   .9865558  .1627757  .0145542
T  118  2 .3752473E+06   1850244E-03  .2313E+01  .7316E+02   .9786756  .1897306  .0787164
T  119  2 .3867057E+06   1849183E-03  .9827E+02  .1261E+03   .9823336  .1547093  .1052886
T  120  2 .3746039E+06   1847143E-03  .1714E+02  .1104E+03   .9935198  .0284077  .1100517
T  121  2 .3592326E+06   1848162E-03  .4089E+02 -.2880E+01   .9909656  .1332900  .0148667
T  123  2 .3888793E+06   1856570E-03  .5987E+01  .8679E+02   .9751054  .1085714  .1933434
T  124  2 .3841943E+06   1849341E-03 -.1714E+03 -.1732E+03   .9825716 -.1223260 -.1399620
T  125  2 .3786044E+06   1849939E-03 -.1191E+03 -.1525E+03   .9840734 -.0790698 -.1592088
T  126  2 .3848843E+06   1853162E-03 -.5450E+02 -.1057E+02   .9931713 -.0964790  .0655936
T  127  2 .3858446E+06   1851406E-03  .9609E+02  .1125E+03   .9929981  .0627811  .1000666
T  128  2 .3892067E+06   1852482E-03  .1109E+03 -.2692E+03   .9586167  .0603073 -.2782393
T  129  2 .3804184E+06   1846353E-03  .1239E+03 -.6173E+02   .9808087  .1428551 -.1326903
T  130  2 .3767848E+06   1847612E-03  .2118E+03 -.1145E+02   .9849010  .1706664  .0290360
