============================== SRIM-2003.26 ==============================
==============================================================================
=================  TRANSMIT.txt : File of Transmitted Ions  ==================
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom. B= Backscattered Ion. T= Transmitted Ion.   =
=  Col.#2: Ion Number. Col.#3: Z of atom leaving. Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target. Y.Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.  NOTE: Use hotkey  C  for details.=
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.=  F(11.4 MeV) ==> Graphite (carbon)( 1.24 um) ==============
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T    1  9 .8189109E+07   1251545E-02  .1128E+04  .1992E+02   .9956712  .0928803  .0034674
T    2  9 .8227145E+07   1253170E-02  .1109E+04 -.1233E+03   .9953836  .0949133 -.0142457
T    3  9 .8171826E+07   1254611E-02  .1089E+04 -.2818E+02   .9964413  .0841246 -.0052791
T    4  9 .8136421E+07   1256451E-02  .1043E+04  .4136E+02   .9968609  .0790502  .0044006
T    5  9 .8230394E+07   1258103E-02  .1116E+04 -.4323E+02   .9955954  .0933733 -.0084399
T    6  9 .8192877E+07   1256542E-02  .1146E+04 -.1304E+02   .9959621  .0897557 -.0018469
T    7  9 .8137356E+07   1258442E-02  .5028E+03  .5273E+03   .9981379  .0423383  .0439117
T    8  9 .8206568E+07   1253618E-02  .9911E+03  .7363E+02   .9975625  .0677617  .0166537
T    9  9 .8110115E+07   1253017E-02  .1082E+04 -.9169E+02   .9961768  .0859008 -.0159011
T   10  9 .8196868E+07   1257053E-02  .9698E+03 -.2497E+02   .9974806  .0708039 -.0043831
T   11  9 .8202890E+07   1252181E-02  .1176E+04  .1649E+02   .9956481  .0931312  .0033942
T   12  9 .8118107E+07   1255166E-02  .1141E+04  .3452E+01   .9959898  .0893370 -.0048237
T   13  9 .8130670E+07   1255909E-02  .1054E+04  .3667E+02   .9966407  .0818477  .0028652
T   14  9 .8092578E+07   1251292E-02  .1095E+04  .2495E+00   .9961457  .0876578  .0031400
T   15  9 .8265794E+07   1258012E-02  .1077E+04 -.8135E+02   .9968327  .0787737 -.0109249
T   16  9 .8211976E+07   1255504E-02  .1088E+04  .2541E+02   .9962548  .0863171  .0050771
T   17  9 .8113437E+07   1255643E-02  .9796E+03 -.1027E+03   .9968887  .0765018 -.0189830
T   18  9 .8154737E+07   1255575E-02  .1040E+04  .1439E+02   .9965314  .0829928  .0061199
T   19  9 .8189163E+07   1252613E-02  .1126E+04 -.1439E+02   .9957403  .0921570  .0028941
T   20  9 .8242452E+07   1252839E-02  .1198E+04 -.9459E+02   .9955599  .0932098 -.0131320
T   21  9 .8120369E+07   1255835E-02  .1084E+04 -.2100E+02   .9957575  .0916177 -.0085501
T   22  9 .8264531E+07   1259231E-02  .1107E+04 -.3732E+02   .9964832  .0837925  .0001759
T   23  9 .8162598E+07   1252144E-02  .1032E+04 -.9766E+02   .9969668  .0773459 -.0086481
T   24  9 .8237455E+07   1259592E-02  .1072E+04 -.3825E+00   .9966340  .0819715 -.0011320
