============================== SRIM-2003.26 ==============================
==============================================================================
=================  TRANSMIT.txt : File of Transmitted Ions  ==================
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom. B= Backscattered Ion. T= Transmitted Ion.   =
=  Col.#2: Ion Number. Col.#3: Z of atom leaving. Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target. Y.Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.  NOTE: Use hotkey  C  for details.=
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.=  H(500 keV) ==> Layer 1( 1846 A) ==========================
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T   55  1 .4712515E+06   1848378E-03  .1775E+03 -.3101E+02   .9945808  .1017246 -.0214744
T   56  1 .4622187E+06   1862555E-03  .1889E+03 -.4025E+02   .9938470  .1065109 -.0303893
T   57  1 .4725837E+06   1847195E-03  .1908E+03  .5835E+02   .9915316  .1209519  .0472840
T   58  1 .4732294E+06   1850352E-03  .9313E+02  .4269E+02   .9978785 -.0194862  .0621194
T   59  1 .4672338E+06   1846690E-03  .1301E+03 -.4742E+02   .9960294  .0570535 -.0683401
T   60  1 .4731565E+06   1847482E-03  .1545E+03  .2429E+02   .9934786  .0953001  .0625960
T   61  1 .4753058E+06   1852372E-03  .1802E+03 -.6221E+01   .9794009  .2018629 -.0050247
T   62  1 .4691964E+06   1852555E-03  .5092E+03 -.5564E+02   .9196893  .3869317 -.0667488
T   63  1 .4656982E+06   1847802E-03  .2564E+03  .2599E+01   .9795492  .1980471 -.0355060
T   64  1 .4596465E+06   1853292E-03  .1390E+03  .9205E+01   .9965650  .0827857 -.0021828
T   65  1 .4721170E+06   1857538E-03  .1432E+03  .3665E+02   .9965920  .0574454  .0591981
T   66  1 .4657609E+06   1850336E-03  .2010E+03  .3232E+02   .9921953  .1234468  .0175908
T   67  1 .4667314E+06   1855564E-03  .1677E+03 -.8037E+02   .9965495  .0422583 -.0714377
T   68  1 .4725437E+06   1855425E-03  .1901E+03 -.3471E+01   .9946839  .1026152  .0086081
T   69  1 .4641062E+06   1858241E-03  .1789E+03  .3388E+02   .9913650  .0930425  .0924040
T   70  1 .4689786E+06   1856456E-03  .1497E+03 -.1014E+02   .9988089  .0396852 -.0283884
T   71  1 .4727829E+06   1848910E-03  .2345E+03  .1108E+02   .9834772  .1810035  .0032043
T   72  1 .4682311E+06   1862287E-03  .1969E+03  .4543E+02   .9893006  .0991098  .1070587
T   73  1 .4609600E+06   1854514E-03  .1273E+03 -.4305E+02   .9984023  .0203662 -.0527079
T   74  1 .4624699E+06   1851945E-03  .8004E+02 -.5385E+02   .9917588 -.0665472 -.1094802
T   75  1 .4690234E+06   1847560E-03  .1809E+03  .4826E+01   .9907215  .1354039  .0116950
T   76  1 .4714026E+06   1848303E-03  .1552E+03 -.7425E+00   .9977180  .0675182  .0003832
T   77  1 .4763247E+06   1852035E-03  .1873E+03 -.5107E+02   .9846093  .1453363 -.0970662
T   78  1 .4691945E+06   1857524E-03  .1636E+03  .5719E+02   .9947918  .0797984  .0634148
T   79  1 .4702763E+06   1855870E-03  .1554E+03  .7886E+01   .9960196  .0876785  .0160455
T   80  1 .4701272E+06   1851307E-03  .1150E+03 -.7452E+01   .9998608  .0100768  .0132968
T   81  1 .4646163E+06   1847632E-03  .2487E+03  .1517E+03   .9321573  .2326920  .2773755
T   82  1 .4645016E+06   1856749E-03  .1343E+03  .9010E+02   .9933007  .0485256  .1048763
